#Coverage	Number of genomic locations
0.0	403.0
1.0	223.0
2.0	116.0
3.0	243.0
4.0	111.0
5.0	94.0
6.0	135.0
7.0	153.0
8.0	191.0
9.0	175.0
10.0	206.0
11.0	299.0
12.0	392.0
13.0	487.0
14.0	735.0
15.0	980.0
16.0	1703.0
17.0	2528.0
18.0	3739.0
19.0	5455.0
20.0	7492.0
21.0	10303.0
22.0	14296.0
23.0	17868.0
24.0	22178.0
25.0	27953.0
26.0	32139.0
27.0	36131.0
28.0	38978.0
29.0	40140.0
30.0	41355.0
31.0	40977.0
32.0	39780.0
33.0	36772.0
34.0	33765.0
35.0	31258.0
36.0	27639.0
37.0	23900.0
38.0	21277.0
39.0	18939.0
40.0	16333.0
41.0	14354.0
42.0	11977.0
43.0	10582.0
44.0	9004.0
45.0	8246.0
46.0	7521.0
47.0	6858.0
48.0	6116.0
49.0	5782.0
50.0	5562.0
51.0	5118.0
52.0	4688.0
53.0	4637.0
54.0	4353.0
55.0	4251.0
56.0	3889.0
57.0	3612.0
58.0	3572.0
59.0	3494.0
60.0	3410.0
61.0	3199.0
62.0	2922.0
63.0	2679.0
64.0	2455.0
65.0	2392.0
66.0	2452.0
67.0	2269.0
68.0	1988.0
69.0	1960.0
70.0	1893.0
71.0	1691.0
72.0	1739.0
73.0	1690.0
74.0	1595.0
75.0	1559.0
76.0	1583.0
77.0	1428.0
78.0	1459.0
79.0	1474.0
80.0	1416.0
81.0	1287.0
82.0	1228.0
83.0	1117.0
84.0	996.0
85.0	939.0
86.0	799.0
87.0	749.0
88.0	757.0
89.0	748.0
90.0	760.0
91.0	714.0
92.0	792.0
93.0	773.0
94.0	623.0
95.0	580.0
96.0	605.0
97.0	642.0
98.0	624.0
99.0	579.0
100.0	530.0
101.0	506.0
102.0	531.0
103.0	541.0
104.0	516.0
105.0	485.0
106.0	443.0
107.0	448.0
108.0	477.0
109.0	518.0
110.0	517.0
111.0	508.0
112.0	512.0
113.0	604.0
114.0	575.0
115.0	534.0
116.0	580.0
117.0	557.0
118.0	513.0
119.0	559.0
120.0	588.0
121.0	530.0
122.0	522.0
123.0	537.0
124.0	539.0
125.0	507.0
126.0	441.0
127.0	422.0
128.0	435.0
129.0	386.0
130.0	399.0
131.0	342.0
132.0	353.0
133.0	329.0
134.0	346.0
135.0	397.0
136.0	313.0
137.0	290.0
138.0	297.0
139.0	300.0
140.0	269.0
141.0	247.0
142.0	258.0
143.0	247.0
144.0	266.0
145.0	220.0
146.0	234.0
147.0	214.0
148.0	194.0
149.0	171.0
150.0	202.0
151.0	172.0
152.0	190.0
153.0	153.0
154.0	164.0
155.0	165.0
156.0	200.0
157.0	160.0
158.0	179.0
159.0	184.0
160.0	200.0
161.0	201.0
162.0	193.0
163.0	204.0
164.0	190.0
165.0	204.0
166.0	198.0
167.0	175.0
168.0	184.0
169.0	172.0
170.0	165.0
171.0	130.0
172.0	127.0
173.0	143.0
174.0	161.0
175.0	132.0
176.0	157.0
177.0	156.0
178.0	149.0
179.0	150.0
180.0	120.0
181.0	155.0
182.0	162.0
183.0	158.0
184.0	157.0
185.0	155.0
186.0	124.0
187.0	141.0
188.0	142.0
189.0	142.0
190.0	148.0
191.0	138.0
192.0	150.0
193.0	150.0
194.0	136.0
195.0	143.0
196.0	149.0
197.0	135.0
198.0	145.0
199.0	135.0
200.0	139.0
201.0	128.0
202.0	143.0
203.0	146.0
204.0	172.0
205.0	178.0
206.0	158.0
207.0	151.0
208.0	161.0
209.0	145.0
210.0	149.0
211.0	159.0
212.0	189.0
213.0	152.0
214.0	146.0
215.0	169.0
216.0	184.0
217.0	183.0
218.0	190.0
219.0	210.0
220.0	206.0
221.0	177.0
222.0	201.0
223.0	189.0
224.0	207.0
225.0	180.0
226.0	191.0
227.0	204.0
228.0	201.0
229.0	213.0
230.0	183.0
231.0	206.0
232.0	202.0
233.0	199.0
234.0	204.0
235.0	189.0
236.0	198.0
237.0	194.0
238.0	182.0
239.0	173.0
240.0	172.0
241.0	161.0
242.0	171.0
243.0	186.0
244.0	206.0
245.0	189.0
246.0	191.0
247.0	191.0
248.0	231.0
249.0	223.0
250.0	213.0
251.0	245.0
252.0	234.0
253.0	238.0
254.0	227.0
255.0	241.0
256.0	218.0
257.0	238.0
258.0	187.0
259.0	203.0
260.0	200.0
261.0	188.0
262.0	178.0
263.0	192.0
264.0	200.0
265.0	206.0
266.0	187.0
267.0	181.0
268.0	183.0
269.0	147.0
270.0	142.0
271.0	131.0
272.0	113.0
273.0	141.0
274.0	121.0
275.0	99.0
276.0	111.0
277.0	93.0
278.0	92.0
279.0	84.0
280.0	80.0
281.0	86.0
282.0	86.0
283.0	72.0
284.0	79.0
285.0	82.0
286.0	91.0
287.0	90.0
288.0	82.0
289.0	102.0
290.0	101.0
291.0	115.0
292.0	113.0
293.0	100.0
294.0	103.0
295.0	100.0
296.0	120.0
297.0	110.0
298.0	116.0
299.0	108.0
300.0	112.0
301.0	109.0
302.0	94.0
303.0	96.0
304.0	98.0
305.0	99.0
306.0	124.0
307.0	119.0
308.0	124.0
309.0	121.0
310.0	119.0
311.0	117.0
312.0	113.0
313.0	120.0
314.0	151.0
315.0	117.0
316.0	118.0
317.0	139.0
318.0	116.0
319.0	90.0
320.0	112.0
321.0	120.0
322.0	124.0
323.0	136.0
324.0	142.0
325.0	130.0
326.0	114.0
327.0	138.0
328.0	118.0
329.0	124.0
330.0	105.0
331.0	122.0
332.0	105.0
333.0	117.0
334.0	98.0
335.0	112.0
336.0	120.0
337.0	95.0
338.0	111.0
339.0	91.0
340.0	92.0
341.0	113.0
342.0	106.0
343.0	89.0
344.0	79.0
345.0	82.0
346.0	89.0
347.0	65.0
348.0	66.0
349.0	61.0
350.0	62.0
351.0	63.0
352.0	49.0
353.0	55.0
354.0	37.0
355.0	44.0
356.0	55.0
357.0	43.0
358.0	43.0
359.0	37.0
360.0	38.0
361.0	34.0
362.0	38.0
363.0	42.0
364.0	33.0
365.0	30.0
366.0	29.0
367.0	39.0
368.0	44.0
369.0	38.0
370.0	45.0
371.0	37.0
372.0	40.0
373.0	29.0
374.0	39.0
375.0	24.0
376.0	30.0
377.0	26.0
378.0	28.0
379.0	24.0
380.0	22.0
381.0	25.0
382.0	30.0
383.0	31.0
384.0	27.0
385.0	27.0
386.0	35.0
387.0	31.0
388.0	34.0
389.0	29.0
390.0	20.0
391.0	26.0
392.0	28.0
393.0	31.0
394.0	30.0
395.0	34.0
396.0	26.0
397.0	30.0
398.0	30.0
399.0	31.0
400.0	33.0
401.0	31.0
402.0	38.0
403.0	31.0
404.0	36.0
405.0	29.0
406.0	26.0
407.0	33.0
408.0	32.0
409.0	37.0
410.0	38.0
411.0	30.0
412.0	27.0
413.0	35.0
414.0	37.0
415.0	38.0
416.0	31.0
417.0	42.0
418.0	32.0
419.0	30.0
420.0	25.0
421.0	31.0
422.0	32.0
423.0	24.0
424.0	30.0
425.0	31.0
426.0	29.0
427.0	35.0
428.0	23.0
429.0	31.0
430.0	30.0
431.0	26.0
432.0	28.0
433.0	52.0
434.0	28.0
435.0	34.0
436.0	30.0
437.0	36.0
438.0	31.0
439.0	33.0
440.0	32.0
441.0	29.0
442.0	29.0
443.0	30.0
444.0	38.0
445.0	38.0
446.0	31.0
447.0	39.0
448.0	26.0
449.0	25.0
450.0	32.0
451.0	27.0
452.0	28.0
453.0	26.0
454.0	24.0
455.0	23.0
456.0	21.0
457.0	15.0
458.0	16.0
459.0	16.0
460.0	7.0
461.0	12.0
462.0	7.0
463.0	5.0
464.0	8.0
465.0	7.0
466.0	5.0
467.0	3.0
468.0	4.0
469.0	5.0
470.0	3.0
471.0	3.0
472.0	4.0
473.0	6.0
474.0	2.0
475.0	3.0
476.0	6.0
477.0	4.0
478.0	3.0
479.0	4.0
480.0	3.0
481.0	9.0
482.0	8.0
483.0	4.0
484.0	1.0
485.0	6.0
486.0	3.0
487.0	5.0
488.0	5.0
489.0	8.0
490.0	10.0
491.0	13.0
492.0	10.0
493.0	7.0
494.0	11.0
495.0	8.0
496.0	8.0
497.0	11.0
498.0	15.0
499.0	8.0
500.0	8.0
501.0	14.0
502.0	7.0
503.0	11.0
504.0	5.0
505.0	13.0
506.0	13.0
507.0	13.0
508.0	19.0
509.0	16.0
510.0	14.0
511.0	2.0
512.0	12.0
513.0	13.0
514.0	19.0
515.0	18.0
516.0	19.0
517.0	10.0
518.0	14.0
519.0	18.0
520.0	18.0
521.0	11.0
522.0	13.0
523.0	11.0
524.0	6.0
525.0	11.0
526.0	17.0
527.0	9.0
528.0	9.0
529.0	17.0
530.0	13.0
531.0	13.0
532.0	12.0
533.0	9.0
534.0	10.0
535.0	6.0
536.0	11.0
537.0	12.0
538.0	11.0
539.0	7.0
540.0	5.0
541.0	8.0
542.0	10.0
543.0	7.0
544.0	13.0
545.0	10.0
546.0	4.0
547.0	7.0
548.0	11.0
549.0	8.0
550.0	10.0
551.0	7.0
552.0	5.0
553.0	11.0
554.0	9.0
555.0	13.0
556.0	14.0
557.0	13.0
558.0	9.0
559.0	14.0
560.0	10.0
561.0	7.0
562.0	8.0
563.0	5.0
564.0	7.0
565.0	1.0
566.0	2.0
567.0	8.0
568.0	2.0
569.0	8.0
570.0	2.0
571.0	5.0
572.0	5.0
573.0	5.0
574.0	3.0
575.0	2.0
576.0	4.0
577.0	4.0
578.0	4.0
579.0	1.0
580.0	6.0
581.0	2.0
582.0	3.0
583.0	4.0
585.0	4.0
586.0	1.0
587.0	3.0
588.0	1.0
589.0	1.0
590.0	4.0
591.0	2.0
592.0	3.0
593.0	2.0
594.0	1.0
595.0	1.0
596.0	2.0
597.0	4.0
598.0	1.0
599.0	2.0
600.0	4.0
601.0	1.0
602.0	2.0
603.0	4.0
604.0	1.0
605.0	1.0
606.0	4.0
607.0	5.0
608.0	3.0
609.0	2.0
610.0	1.0
611.0	5.0
612.0	1.0
613.0	2.0
614.0	3.0
615.0	2.0
616.0	5.0
617.0	1.0
618.0	2.0
620.0	1.0
621.0	4.0
622.0	2.0
623.0	2.0
624.0	3.0
625.0	1.0
626.0	2.0
627.0	4.0
628.0	1.0
629.0	4.0
630.0	3.0
631.0	5.0
632.0	4.0
634.0	2.0
635.0	2.0
636.0	2.0
637.0	2.0
638.0	4.0
639.0	5.0
640.0	2.0
641.0	5.0
642.0	5.0
643.0	1.0
644.0	3.0
645.0	2.0
646.0	1.0
647.0	2.0
648.0	3.0
649.0	1.0
650.0	2.0
651.0	2.0
652.0	2.0
653.0	2.0
654.0	3.0
655.0	3.0
656.0	2.0
657.0	2.0
658.0	2.0
659.0	2.0
660.0	5.0
661.0	6.0
662.0	3.0
663.0	4.0
664.0	4.0
665.0	1.0
666.0	6.0
667.0	4.0
668.0	1.0
669.0	6.0
670.0	1.0
671.0	4.0
672.0	3.0
673.0	7.0
674.0	5.0
675.0	3.0
676.0	4.0
677.0	3.0
678.0	3.0
679.0	9.0
680.0	2.0
681.0	4.0
682.0	4.0
683.0	5.0
684.0	4.0
685.0	3.0
686.0	4.0
687.0	2.0
688.0	1.0
689.0	3.0
690.0	5.0
691.0	2.0
692.0	6.0
693.0	3.0
694.0	6.0
695.0	6.0
696.0	11.0
697.0	6.0
698.0	14.0
699.0	15.0
700.0	17.0
701.0	20.0
702.0	17.0
703.0	13.0
704.0	14.0
705.0	9.0
706.0	9.0
707.0	18.0
708.0	5.0
709.0	8.0
710.0	7.0
711.0	18.0
712.0	17.0
713.0	17.0
714.0	21.0
715.0	25.0
716.0	16.0
717.0	24.0
718.0	25.0
719.0	25.0
720.0	26.0
721.0	29.0
722.0	15.0
723.0	23.0
724.0	25.0
725.0	22.0
726.0	21.0
727.0	13.0
728.0	12.0
729.0	15.0
730.0	14.0
731.0	20.0
732.0	21.0
733.0	22.0
734.0	17.0
735.0	20.0
736.0	21.0
737.0	21.0
738.0	20.0
739.0	21.0
740.0	22.0
741.0	21.0
742.0	18.0
743.0	9.0
744.0	10.0
745.0	15.0
746.0	22.0
747.0	11.0
748.0	15.0
749.0	19.0
750.0	18.0
751.0	22.0
752.0	20.0
753.0	15.0
754.0	13.0
755.0	19.0
756.0	15.0
757.0	20.0
758.0	15.0
759.0	10.0
760.0	9.0
761.0	18.0
762.0	24.0
763.0	14.0
764.0	17.0
765.0	15.0
766.0	10.0
767.0	6.0
768.0	5.0
769.0	8.0
770.0	9.0
771.0	12.0
772.0	7.0
773.0	17.0
774.0	16.0
775.0	10.0
776.0	5.0
777.0	10.0
778.0	6.0
779.0	8.0
780.0	8.0
781.0	13.0
782.0	9.0
783.0	8.0
784.0	11.0
785.0	14.0
786.0	6.0
787.0	13.0
788.0	16.0
789.0	7.0
790.0	6.0
791.0	19.0
792.0	11.0
793.0	14.0
794.0	10.0
795.0	9.0
796.0	8.0
797.0	13.0
798.0	15.0
799.0	14.0
800.0	11.0
801.0	8.0
802.0	6.0
803.0	11.0
804.0	6.0
805.0	6.0
806.0	9.0
807.0	13.0
808.0	8.0
809.0	12.0
810.0	7.0
811.0	4.0
812.0	2.0
813.0	5.0
814.0	1.0
815.0	6.0
816.0	1.0
817.0	3.0
818.0	5.0
819.0	2.0
820.0	3.0
821.0	1.0
822.0	2.0
823.0	6.0
824.0	5.0
825.0	4.0
826.0	3.0
827.0	3.0
828.0	8.0
829.0	1.0
830.0	3.0
831.0	2.0
832.0	2.0
833.0	1.0
834.0	1.0
837.0	1.0
838.0	1.0
840.0	1.0
841.0	1.0
843.0	1.0
844.0	2.0
845.0	1.0
846.0	2.0
849.0	1.0
850.0	1.0
851.0	1.0
852.0	1.0
853.0	1.0
855.0	1.0
857.0	1.0
858.0	2.0
859.0	1.0
860.0	2.0
861.0	3.0
865.0	1.0
868.0	1.0
874.0	2.0
881.0	1.0
882.0	2.0
886.0	1.0
891.0	1.0
894.0	1.0
900.0	1.0
906.0	1.0
911.0	1.0
917.0	1.0
923.0	1.0
929.0	1.0
930.0	1.0
938.0	1.0
939.0	1.0
944.0	2.0
945.0	1.0
949.0	1.0
951.0	1.0
954.0	2.0
956.0	1.0
958.0	1.0
959.0	2.0
960.0	1.0
961.0	1.0
962.0	1.0
963.0	3.0
964.0	1.0
967.0	2.0
968.0	1.0
969.0	1.0
970.0	1.0
972.0	1.0
973.0	1.0
974.0	1.0
975.0	2.0
976.0	1.0
977.0	4.0
979.0	3.0
980.0	3.0
981.0	1.0
983.0	1.0
984.0	1.0
986.0	3.0
987.0	2.0
988.0	1.0
989.0	1.0
992.0	2.0
993.0	1.0
994.0	2.0
996.0	3.0
997.0	1.0
998.0	1.0
1000.0	2.0
1001.0	1.0
1003.0	1.0
1004.0	2.0
1005.0	1.0
1007.0	2.0
1008.0	1.0
1009.0	3.0
1011.0	1.0
1012.0	2.0
1013.0	2.0
1016.0	1.0
1017.0	2.0
1018.0	1.0
1019.0	1.0
1020.0	4.0
1021.0	2.0
1022.0	2.0
1024.0	4.0
1025.0	4.0
1026.0	7.0
1027.0	7.0
1028.0	3.0
1029.0	6.0
1030.0	10.0
1031.0	7.0
1032.0	5.0
1033.0	10.0
1034.0	9.0
1035.0	11.0
1036.0	6.0
1037.0	5.0
1038.0	10.0
1039.0	13.0
1040.0	5.0
1041.0	11.0
1042.0	7.0
1043.0	2.0
1044.0	13.0
1045.0	7.0
1046.0	5.0
1047.0	7.0
1048.0	11.0
1049.0	9.0
1050.0	11.0
1051.0	11.0
1052.0	9.0
1053.0	8.0
1054.0	9.0
1055.0	5.0
1056.0	4.0
1057.0	3.0
1058.0	9.0
1059.0	12.0
1060.0	8.0
1061.0	7.0
1063.0	5.0
1064.0	11.0
1065.0	5.0
1066.0	4.0
1067.0	5.0
1068.0	6.0
1069.0	13.0
1070.0	5.0
1071.0	7.0
1072.0	5.0
1073.0	13.0
1074.0	5.0
1075.0	2.0
1076.0	4.0
1077.0	3.0
1078.0	2.0
1079.0	2.0
1080.0	2.0
1081.0	2.0
1082.0	1.0
1083.0	1.0
1084.0	2.0
1085.0	3.0
1086.0	3.0
1087.0	1.0
1088.0	2.0
1089.0	4.0
1090.0	2.0
1091.0	2.0
1092.0	4.0
1093.0	2.0
1094.0	4.0
1095.0	2.0
1096.0	1.0
1097.0	1.0
1098.0	1.0
1101.0	2.0
1103.0	2.0
1104.0	1.0
1105.0	2.0
1107.0	1.0
1109.0	1.0
1111.0	2.0
1113.0	1.0
1115.0	1.0
1130.0	1.0
1139.0	1.0
1150.0	1.0
1158.0	1.0
1173.0	1.0
1180.0	1.0
1190.0	1.0
1200.0	1.0
1208.0	1.0
1219.0	1.0
1229.0	1.0
1242.0	1.0
1243.0	1.0
1244.0	1.0
1246.0	1.0
1249.0	1.0
1250.0	1.0
1252.0	2.0
1253.0	2.0
1254.0	1.0
1255.0	4.0
1257.0	2.0
1260.0	1.0
1263.0	1.0
1264.0	1.0
1265.0	1.0
1266.0	1.0
1267.0	2.0
1268.0	1.0
1270.0	1.0
1273.0	2.0
1278.0	1.0
1280.0	1.0
1284.0	1.0
1286.0	1.0
1295.0	2.0
1296.0	2.0
1298.0	1.0
1303.0	1.0
1305.0	1.0
1312.0	1.0
1317.0	1.0
1318.0	1.0
