#Coverage (X)	Coverage
1.0	99.95191573441258
2.0	99.92530831201557
3.0	99.91146767973731
4.0	99.88247394143026
5.0	99.86922988812951
6.0	99.8580142033523
7.0	99.8419065709595
8.0	99.82365125424764
9.0	99.8008619373067
10.0	99.77998167309381
11.0	99.75540261922035
12.0	99.71972719636517
13.0	99.67295540452827
14.0	99.61484861211866
15.0	99.5271515024245
16.0	99.41022202283227
17.0	99.2070272230919
18.0	98.90539689206216
19.0	98.45927513267917
20.0	97.80840746821427
21.0	96.91449352831125
22.0	95.68518288725134
23.0	93.97944427475088
24.0	91.84750964071628
25.0	89.2013239280669
26.0	85.8660894963919
27.0	82.03139914474437
28.0	77.7204001374518
29.0	73.06970906036425
30.0	68.28037302890306
31.0	63.346068305906606
32.0	58.456864953610015
33.0	53.710482608529645
34.0	49.32300217632011
35.0	45.29430434118591
36.0	41.56473120537589
37.0	38.2669619334886
38.0	35.4153144209843
39.0	32.87663224008247
40.0	30.61691038906494
41.0	28.66812550112634
42.0	26.955466572486728
43.0	25.526421289756016
44.0	24.26382154175097
45.0	23.189502119048512
46.0	22.20562406933678
47.0	21.30824997136419
48.0	20.489982245809614
49.0	19.760246840517723
50.0	19.070362910923592
51.0	18.406728456339962
