#Insert size (bp)	insert size
2.0	38.0
3.0	29.0
4.0	32.0
5.0	36.0
6.0	44.0
7.0	40.0
8.0	30.0
9.0	37.0
10.0	26.0
11.0	39.0
12.0	42.0
13.0	30.0
14.0	47.0
15.0	31.0
16.0	60.0
17.0	38.0
18.0	60.0
19.0	54.0
20.0	53.0
21.0	48.0
22.0	45.0
23.0	50.0
24.0	55.0
25.0	50.0
26.0	59.0
27.0	46.0
28.0	57.0
29.0	48.0
30.0	62.0
31.0	60.0
32.0	67.0
33.0	84.0
34.0	76.0
35.0	114.0
36.0	79.0
37.0	68.0
38.0	82.0
39.0	81.0
40.0	81.0
41.0	77.0
42.0	74.0
43.0	67.0
44.0	103.0
45.0	77.0
46.0	86.0
47.0	111.0
48.0	107.0
49.0	170.0
50.0	120.0
51.0	112.0
52.0	98.0
53.0	125.0
54.0	117.0
55.0	132.0
56.0	110.0
57.0	135.0
58.0	115.0
59.0	97.0
60.0	106.0
61.0	118.0
62.0	170.0
63.0	122.0
64.0	105.0
65.0	125.0
66.0	107.0
67.0	141.0
68.0	109.0
69.0	125.0
70.0	86.0
71.0	107.0
72.0	151.0
73.0	113.0
74.0	110.0
75.0	107.0
76.0	119.0
77.0	100.0
78.0	116.0
79.0	106.0
80.0	98.0
81.0	114.0
82.0	171.0
83.0	109.0
84.0	97.0
85.0	139.0
86.0	106.0
87.0	114.0
88.0	104.0
89.0	109.0
90.0	179.0
91.0	117.0
92.0	194.0
93.0	92.0
94.0	111.0
95.0	100.0
96.0	104.0
97.0	106.0
98.0	102.0
99.0	116.0
100.0	105.0
101.0	102.0
102.0	121.0
103.0	97.0
104.0	90.0
105.0	89.0
106.0	84.0
107.0	86.0
108.0	70.0
109.0	72.0
110.0	93.0
111.0	103.0
112.0	77.0
113.0	92.0
114.0	171.0
115.0	79.0
116.0	88.0
117.0	70.0
118.0	96.0
119.0	84.0
120.0	88.0
121.0	82.0
122.0	88.0
123.0	144.0
124.0	88.0
125.0	108.0
126.0	87.0
127.0	75.0
128.0	84.0
129.0	91.0
130.0	93.0
131.0	86.0
132.0	68.0
133.0	76.0
134.0	116.0
135.0	81.0
136.0	64.0
137.0	80.0
138.0	104.0
139.0	85.0
140.0	86.0
141.0	67.0
142.0	69.0
143.0	85.0
144.0	72.0
145.0	64.0
146.0	59.0
147.0	78.0
148.0	56.0
149.0	58.0
150.0	49.0
151.0	45.0
152.0	40.0
153.0	48.0
154.0	40.0
155.0	52.0
156.0	47.0
157.0	33.0
158.0	42.0
159.0	67.0
160.0	40.0
161.0	49.0
162.0	35.0
163.0	34.0
164.0	32.0
165.0	26.0
166.0	31.0
167.0	29.0
168.0	31.0
169.0	33.0
170.0	31.0
171.0	34.0
172.0	47.0
173.0	32.0
174.0	32.0
175.0	40.0
176.0	34.0
177.0	23.0
178.0	31.0
179.0	27.0
180.0	34.0
181.0	22.0
182.0	28.0
183.0	22.0
184.0	37.0
185.0	20.0
186.0	24.0
187.0	22.0
188.0	24.0
189.0	25.0
190.0	30.0
191.0	25.0
192.0	24.0
193.0	21.0
194.0	18.0
195.0	48.0
196.0	23.0
197.0	26.0
198.0	24.0
199.0	55.0
200.0	21.0
201.0	27.0
202.0	27.0
203.0	34.0
204.0	36.0
205.0	18.0
206.0	25.0
207.0	19.0
208.0	17.0
209.0	44.0
210.0	17.0
211.0	27.0
212.0	52.0
213.0	20.0
214.0	22.0
215.0	23.0
216.0	26.0
217.0	21.0
218.0	25.0
219.0	26.0
220.0	29.0
221.0	27.0
222.0	31.0
223.0	31.0
224.0	26.0
225.0	29.0
226.0	36.0
227.0	31.0
228.0	23.0
229.0	45.0
230.0	26.0
231.0	33.0
232.0	29.0
233.0	38.0
234.0	50.0
235.0	112.0
236.0	34.0
237.0	38.0
238.0	37.0
239.0	34.0
240.0	43.0
241.0	58.0
242.0	52.0
243.0	50.0
244.0	43.0
245.0	44.0
246.0	63.0
247.0	61.0
248.0	42.0
249.0	54.0
250.0	48.0
251.0	60.0
252.0	41.0
253.0	45.0
254.0	42.0
255.0	43.0
256.0	48.0
257.0	84.0
258.0	35.0
259.0	51.0
260.0	65.0
261.0	60.0
262.0	62.0
263.0	67.0
264.0	67.0
265.0	59.0
266.0	73.0
267.0	72.0
268.0	95.0
269.0	86.0
270.0	92.0
271.0	63.0
272.0	81.0
273.0	93.0
274.0	90.0
275.0	77.0
276.0	76.0
277.0	100.0
278.0	102.0
279.0	138.0
280.0	108.0
281.0	87.0
282.0	84.0
283.0	104.0
284.0	99.0
285.0	81.0
286.0	125.0
287.0	82.0
288.0	99.0
289.0	113.0
290.0	92.0
291.0	124.0
292.0	111.0
293.0	152.0
294.0	105.0
295.0	98.0
296.0	110.0
297.0	111.0
298.0	109.0
299.0	109.0
300.0	110.0
301.0	98.0
302.0	113.0
303.0	101.0
304.0	102.0
305.0	134.0
306.0	95.0
307.0	125.0
308.0	142.0
309.0	139.0
310.0	126.0
311.0	124.0
312.0	111.0
313.0	150.0
314.0	120.0
315.0	156.0
316.0	129.0
317.0	159.0
318.0	188.0
319.0	195.0
320.0	232.0
321.0	237.0
322.0	277.0
323.0	299.0
324.0	342.0
325.0	351.0
326.0	414.0
327.0	513.0
328.0	566.0
329.0	662.0
330.0	779.0
331.0	963.0
332.0	1024.0
333.0	1269.0
334.0	1379.0
335.0	1552.0
336.0	1747.0
337.0	2000.0
338.0	2122.0
339.0	2455.0
340.0	2559.0
341.0	2828.0
342.0	3055.0
343.0	3270.0
344.0	3384.0
345.0	3434.0
346.0	3631.0
347.0	3734.0
348.0	3826.0
349.0	3871.0
350.0	3721.0
351.0	3872.0
352.0	3748.0
353.0	3518.0
354.0	3530.0
355.0	3325.0
356.0	3046.0
357.0	2851.0
358.0	2664.0
359.0	2429.0
360.0	2246.0
361.0	2068.0
362.0	1789.0
363.0	1547.0
364.0	1392.0
365.0	1192.0
366.0	1023.0
367.0	890.0
368.0	686.0
369.0	638.0
370.0	508.0
371.0	485.0
372.0	399.0
373.0	330.0
374.0	275.0
375.0	253.0
376.0	208.0
377.0	174.0
378.0	167.0
379.0	133.0
380.0	121.0
381.0	110.0
382.0	101.0
383.0	87.0
384.0	61.0
385.0	67.0
386.0	65.0
387.0	69.0
388.0	53.0
389.0	50.0
390.0	49.0
391.0	70.0
392.0	50.0
393.0	58.0
394.0	51.0
395.0	55.0
396.0	58.0
397.0	46.0
398.0	42.0
399.0	68.0
400.0	55.0
401.0	42.0
402.0	40.0
403.0	42.0
404.0	36.0
405.0	34.0
406.0	33.0
407.0	29.0
408.0	38.0
409.0	36.0
410.0	32.0
411.0	38.0
412.0	37.0
413.0	33.0
414.0	37.0
415.0	43.0
416.0	29.0
417.0	41.0
418.0	48.0
419.0	28.0
420.0	42.0
421.0	32.0
422.0	34.0
423.0	19.0
424.0	18.0
425.0	27.0
426.0	18.0
427.0	26.0
428.0	13.0
429.0	12.0
430.0	15.0
431.0	11.0
432.0	18.0
433.0	14.0
434.0	8.0
435.0	12.0
436.0	11.0
437.0	8.0
438.0	5.0
439.0	3.0
440.0	14.0
441.0	7.0
442.0	8.0
443.0	6.0
444.0	5.0
445.0	2.0
446.0	5.0
447.0	5.0
448.0	4.0
449.0	5.0
450.0	4.0
451.0	4.0
452.0	4.0
453.0	7.0
454.0	3.0
455.0	6.0
456.0	2.0
457.0	3.0
458.0	6.0
459.0	4.0
460.0	1.0
461.0	2.0
462.0	11.0
463.0	4.0
464.0	6.0
465.0	3.0
466.0	2.0
467.0	3.0
468.0	4.0
469.0	3.0
470.0	3.0
471.0	4.0
472.0	1.0
473.0	4.0
474.0	6.0
475.0	4.0
476.0	5.0
477.0	5.0
478.0	6.0
479.0	4.0
480.0	1.0
481.0	3.0
482.0	2.0
483.0	4.0
484.0	6.0
485.0	3.0
486.0	5.0
487.0	5.0
488.0	6.0
489.0	2.0
490.0	8.0
491.0	5.0
492.0	3.0
493.0	5.0
494.0	5.0
495.0	7.0
496.0	4.0
497.0	2.0
498.0	5.0
499.0	2.0
500.0	3.0
501.0	2.0
503.0	6.0
504.0	4.0
505.0	5.0
506.0	6.0
507.0	5.0
508.0	2.0
509.0	4.0
510.0	5.0
511.0	3.0
512.0	5.0
513.0	1.0
514.0	6.0
515.0	4.0
516.0	8.0
517.0	4.0
518.0	1.0
519.0	6.0
520.0	4.0
521.0	2.0
522.0	10.0
523.0	3.0
524.0	4.0
525.0	6.0
526.0	7.0
527.0	2.0
528.0	4.0
529.0	3.0
530.0	7.0
531.0	5.0
532.0	4.0
533.0	4.0
534.0	7.0
535.0	5.0
536.0	3.0
537.0	5.0
538.0	6.0
539.0	3.0
540.0	5.0
541.0	4.0
542.0	6.0
543.0	5.0
544.0	4.0
545.0	6.0
546.0	8.0
547.0	1.0
548.0	7.0
549.0	7.0
550.0	5.0
551.0	2.0
552.0	7.0
553.0	5.0
554.0	5.0
555.0	5.0
556.0	5.0
557.0	4.0
558.0	6.0
559.0	2.0
560.0	5.0
561.0	3.0
562.0	1.0
563.0	2.0
564.0	2.0
565.0	2.0
566.0	2.0
567.0	3.0
568.0	1.0
569.0	1.0
570.0	1.0
571.0	1.0
572.0	3.0
573.0	4.0
574.0	1.0
575.0	3.0
576.0	4.0
577.0	1.0
578.0	1.0
579.0	4.0
580.0	5.0
581.0	3.0
582.0	6.0
583.0	3.0
584.0	2.0
585.0	1.0
586.0	4.0
587.0	2.0
588.0	5.0
589.0	5.0
590.0	3.0
591.0	4.0
592.0	4.0
593.0	3.0
594.0	5.0
595.0	4.0
596.0	6.0
597.0	6.0
598.0	3.0
599.0	8.0
600.0	5.0
601.0	4.0
602.0	6.0
603.0	4.0
604.0	6.0
605.0	6.0
606.0	2.0
607.0	8.0
608.0	5.0
609.0	10.0
610.0	8.0
611.0	5.0
612.0	11.0
613.0	11.0
614.0	11.0
615.0	13.0
616.0	11.0
617.0	14.0
618.0	13.0
619.0	10.0
620.0	9.0
621.0	8.0
622.0	7.0
623.0	9.0
624.0	5.0
625.0	8.0
626.0	6.0
627.0	4.0
628.0	8.0
629.0	8.0
630.0	3.0
631.0	9.0
632.0	8.0
633.0	7.0
634.0	9.0
635.0	4.0
636.0	7.0
637.0	2.0
638.0	3.0
639.0	12.0
640.0	3.0
641.0	5.0
642.0	6.0
643.0	4.0
644.0	8.0
645.0	1.0
646.0	3.0
647.0	5.0
648.0	3.0
649.0	4.0
650.0	7.0
651.0	3.0
652.0	8.0
653.0	5.0
654.0	4.0
655.0	4.0
656.0	4.0
657.0	4.0
658.0	5.0
659.0	1.0
660.0	5.0
661.0	4.0
662.0	8.0
663.0	2.0
664.0	5.0
665.0	2.0
666.0	5.0
667.0	2.0
668.0	4.0
669.0	4.0
671.0	1.0
672.0	3.0
673.0	4.0
674.0	8.0
675.0	2.0
676.0	6.0
677.0	4.0
678.0	1.0
679.0	5.0
681.0	5.0
682.0	1.0
683.0	3.0
684.0	2.0
685.0	6.0
686.0	1.0
687.0	2.0
688.0	1.0
689.0	3.0
690.0	3.0
691.0	4.0
692.0	3.0
693.0	3.0
694.0	5.0
695.0	5.0
696.0	10.0
697.0	1.0
698.0	2.0
699.0	3.0
700.0	2.0
701.0	3.0
702.0	5.0
703.0	3.0
704.0	5.0
705.0	3.0
706.0	15.0
707.0	4.0
708.0	9.0
709.0	6.0
710.0	2.0
711.0	3.0
712.0	5.0
713.0	6.0
714.0	7.0
715.0	2.0
716.0	11.0
717.0	3.0
718.0	3.0
719.0	2.0
720.0	5.0
721.0	1.0
722.0	5.0
723.0	3.0
724.0	2.0
725.0	6.0
726.0	2.0
727.0	5.0
728.0	8.0
