#Mapping quality	mapping quality
0.0	171658.0
1.0	16872.0
2.0	16494.0
3.0	16119.0
4.0	15905.0
5.0	15993.0
6.0	15832.0
7.0	15381.0
8.0	15080.0
9.0	14406.0
10.0	13076.0
11.0	11582.0
12.0	11605.0
13.0	11048.0
14.0	11295.0
15.0	11465.0
16.0	10718.0
17.0	11067.0
18.0	10512.0
19.0	9975.0
20.0	9541.0
21.0	9289.0
22.0	8943.0
23.0	8487.0
24.0	8664.0
25.0	8511.0
26.0	8451.0
27.0	7734.0
28.0	7373.0
29.0	7404.0
30.0	7280.0
31.0	6947.0
32.0	6764.0
33.0	6486.0
34.0	6584.0
35.0	6218.0
36.0	6053.0
37.0	6168.0
38.0	6362.0
39.0	5898.0
40.0	5945.0
41.0	5684.0
42.0	5798.0
43.0	5605.0
44.0	5078.0
45.0	5083.0
46.0	4737.0
47.0	4691.0
48.0	4965.0
49.0	5122.0
50.0	4899.0
51.0	4405.0
52.0	4559.0
53.0	4583.0
54.0	4481.0
55.0	4348.0
56.0	4606.0
57.0	5261.0
58.0	4924.0
59.0	7874.0
60.0	159821.0
