#Coverage	Number of genomic locations
0.0	542.0
1.0	31.0
2.0	83.0
3.0	35.0
4.0	35.0
5.0	51.0
6.0	38.0
7.0	25.0
8.0	26.0
9.0	61.0
10.0	17.0
11.0	34.0
12.0	30.0
13.0	57.0
14.0	169.0
15.0	288.0
16.0	453.0
17.0	704.0
18.0	1032.0
19.0	1648.0
20.0	2167.0
21.0	3325.0
22.0	4349.0
23.0	5917.0
24.0	7302.0
25.0	8720.0
26.0	10299.0
27.0	11418.0
28.0	12236.0
29.0	12297.0
30.0	12296.0
31.0	12500.0
32.0	11583.0
33.0	10289.0
34.0	9347.0
35.0	8040.0
36.0	6407.0
37.0	5057.0
38.0	4165.0
39.0	3331.0
40.0	2560.0
41.0	1862.0
42.0	1346.0
43.0	1074.0
44.0	743.0
45.0	500.0
46.0	317.0
47.0	227.0
48.0	148.0
49.0	134.0
50.0	131.0
51.0	105.0
52.0	86.0
53.0	86.0
54.0	74.0
55.0	61.0
56.0	67.0
57.0	66.0
58.0	95.0
59.0	90.0
60.0	79.0
61.0	88.0
62.0	114.0
63.0	79.0
64.0	104.0
65.0	89.0
66.0	56.0
67.0	59.0
68.0	76.0
69.0	54.0
70.0	85.0
71.0	76.0
72.0	43.0
73.0	34.0
74.0	37.0
75.0	40.0
76.0	31.0
77.0	52.0
78.0	45.0
79.0	17.0
80.0	8.0
81.0	2.0
82.0	3.0
83.0	1.0
100.0	4.0
101.0	1.0
103.0	1.0
104.0	1.0
108.0	2.0
109.0	3.0
110.0	17.0
111.0	20.0
112.0	7.0
113.0	6.0
114.0	6.0
115.0	11.0
116.0	4.0
117.0	11.0
118.0	3.0
119.0	10.0
120.0	23.0
121.0	31.0
122.0	30.0
123.0	42.0
124.0	45.0
125.0	55.0
126.0	64.0
127.0	95.0
128.0	115.0
129.0	100.0
130.0	103.0
131.0	113.0
132.0	123.0
133.0	120.0
134.0	130.0
135.0	146.0
136.0	131.0
137.0	181.0
138.0	174.0
139.0	211.0
140.0	287.0
141.0	271.0
142.0	248.0
143.0	289.0
144.0	329.0
145.0	318.0
146.0	329.0
147.0	297.0
148.0	271.0
149.0	256.0
150.0	260.0
151.0	224.0
