#Coverage (X)	Coverage
1.0	99.729
2.0	99.7135
3.0	99.672
4.0	99.6545
5.0	99.637
6.0	99.6115
7.0	99.5925
8.0	99.58
9.0	99.567
10.0	99.5365
11.0	99.528
12.0	99.511
13.0	99.496
14.0	99.4675
15.0	99.383
16.0	99.239
17.0	99.0125
18.0	98.6605
19.0	98.1445
20.0	97.3205
21.0	96.237
22.0	94.5745
23.0	92.4
24.0	89.4415
25.0	85.79050000000001
26.0	81.4305
27.0	76.281
28.0	70.572
29.0	64.45400000000001
30.0	58.3055
31.0	52.1575
32.0	45.9075
33.0	40.116
34.0	34.971500000000006
35.0	30.298000000000002
36.0	26.278000000000006
37.0	23.0745
38.0	20.546000000000006
39.0	18.46350000000001
40.0	16.798000000000016
41.0	15.518000000000015
42.0	14.587000000000018
43.0	13.914000000000016
44.0	13.37700000000001
45.0	13.005500000000012
46.0	12.755500000000012
47.0	12.597000000000008
48.0	12.483500000000006
49.0	12.409500000000008
50.0	12.342500000000015
51.0	12.277000000000015
