#Insert size (bp)	insert size
2.0	27.0
3.0	22.0
4.0	12.0
5.0	19.0
6.0	15.0
7.0	25.0
8.0	17.0
9.0	25.0
10.0	13.0
11.0	13.0
12.0	21.0
13.0	18.0
14.0	31.0
15.0	28.0
16.0	23.0
17.0	25.0
18.0	27.0
19.0	25.0
20.0	33.0
21.0	37.0
22.0	34.0
23.0	31.0
24.0	32.0
25.0	35.0
26.0	26.0
27.0	33.0
28.0	32.0
29.0	34.0
30.0	17.0
31.0	39.0
32.0	45.0
33.0	43.0
34.0	50.0
35.0	60.0
36.0	51.0
37.0	41.0
38.0	49.0
39.0	37.0
40.0	43.0
41.0	41.0
42.0	35.0
43.0	95.0
44.0	100.0
45.0	37.0
46.0	28.0
47.0	29.0
48.0	29.0
49.0	35.0
50.0	38.0
51.0	27.0
52.0	38.0
53.0	32.0
54.0	34.0
55.0	29.0
56.0	36.0
57.0	112.0
58.0	41.0
59.0	58.0
60.0	63.0
61.0	37.0
62.0	143.0
63.0	295.0
64.0	44.0
65.0	29.0
66.0	36.0
67.0	86.0
68.0	41.0
69.0	36.0
70.0	22.0
71.0	20.0
72.0	50.0
73.0	33.0
74.0	26.0
75.0	49.0
76.0	35.0
77.0	41.0
78.0	46.0
79.0	42.0
80.0	85.0
81.0	47.0
82.0	40.0
83.0	31.0
84.0	47.0
85.0	40.0
86.0	35.0
87.0	39.0
88.0	42.0
89.0	117.0
90.0	35.0
91.0	31.0
92.0	39.0
93.0	29.0
94.0	32.0
95.0	39.0
96.0	32.0
97.0	36.0
98.0	30.0
99.0	36.0
100.0	31.0
101.0	29.0
102.0	29.0
103.0	35.0
104.0	36.0
105.0	39.0
106.0	26.0
107.0	30.0
108.0	34.0
109.0	30.0
110.0	29.0
111.0	36.0
112.0	29.0
113.0	40.0
114.0	22.0
115.0	32.0
116.0	29.0
117.0	22.0
118.0	28.0
119.0	33.0
120.0	39.0
121.0	58.0
122.0	31.0
123.0	45.0
124.0	76.0
125.0	31.0
126.0	25.0
127.0	28.0
128.0	19.0
129.0	21.0
130.0	19.0
131.0	25.0
132.0	24.0
133.0	23.0
134.0	30.0
135.0	30.0
136.0	20.0
137.0	17.0
138.0	27.0
139.0	28.0
140.0	52.0
141.0	17.0
142.0	34.0
143.0	21.0
144.0	24.0
145.0	17.0
146.0	14.0
147.0	16.0
148.0	24.0
149.0	23.0
150.0	20.0
151.0	16.0
152.0	27.0
153.0	23.0
154.0	16.0
155.0	22.0
156.0	25.0
157.0	19.0
158.0	35.0
159.0	18.0
160.0	17.0
161.0	21.0
162.0	24.0
163.0	51.0
164.0	7.0
165.0	26.0
166.0	14.0
167.0	16.0
168.0	18.0
169.0	11.0
170.0	15.0
171.0	13.0
172.0	13.0
173.0	7.0
174.0	8.0
175.0	8.0
176.0	33.0
177.0	9.0
178.0	10.0
179.0	12.0
180.0	10.0
181.0	11.0
182.0	16.0
183.0	8.0
184.0	11.0
185.0	37.0
186.0	14.0
187.0	25.0
188.0	15.0
189.0	8.0
190.0	10.0
191.0	8.0
192.0	9.0
193.0	9.0
194.0	8.0
195.0	14.0
196.0	11.0
197.0	9.0
198.0	6.0
199.0	13.0
200.0	22.0
201.0	7.0
202.0	56.0
203.0	10.0
204.0	18.0
205.0	13.0
206.0	9.0
207.0	6.0
208.0	11.0
209.0	18.0
210.0	9.0
211.0	33.0
212.0	8.0
213.0	12.0
214.0	8.0
215.0	5.0
216.0	9.0
217.0	15.0
218.0	26.0
219.0	21.0
220.0	9.0
221.0	17.0
222.0	13.0
223.0	14.0
224.0	84.0
225.0	18.0
226.0	14.0
227.0	21.0
228.0	25.0
229.0	17.0
230.0	15.0
231.0	37.0
232.0	34.0
233.0	31.0
234.0	26.0
235.0	32.0
236.0	30.0
237.0	22.0
238.0	23.0
239.0	35.0
240.0	36.0
241.0	30.0
242.0	26.0
243.0	26.0
244.0	38.0
245.0	34.0
246.0	35.0
247.0	35.0
248.0	35.0
249.0	30.0
250.0	27.0
251.0	35.0
252.0	30.0
253.0	34.0
254.0	36.0
255.0	33.0
256.0	31.0
257.0	40.0
258.0	38.0
259.0	33.0
260.0	32.0
261.0	47.0
262.0	38.0
263.0	37.0
264.0	40.0
265.0	37.0
266.0	40.0
267.0	33.0
268.0	110.0
269.0	39.0
270.0	42.0
271.0	56.0
272.0	58.0
273.0	58.0
274.0	49.0
275.0	40.0
276.0	69.0
277.0	47.0
278.0	41.0
279.0	48.0
280.0	58.0
281.0	60.0
282.0	65.0
283.0	58.0
284.0	60.0
285.0	49.0
286.0	81.0
287.0	46.0
288.0	61.0
289.0	65.0
290.0	70.0
291.0	70.0
292.0	70.0
293.0	51.0
294.0	95.0
295.0	58.0
296.0	44.0
297.0	48.0
298.0	50.0
299.0	63.0
300.0	59.0
301.0	52.0
302.0	60.0
303.0	57.0
304.0	53.0
305.0	46.0
306.0	56.0
307.0	60.0
308.0	79.0
309.0	61.0
310.0	69.0
311.0	63.0
312.0	50.0
313.0	61.0
314.0	56.0
315.0	68.0
316.0	56.0
317.0	74.0
318.0	58.0
319.0	71.0
320.0	70.0
321.0	76.0
