#Coverage	Number of genomic locations
0.0	364.0
1.0	72.0
2.0	77.0
3.0	39.0
4.0	114.0
5.0	20.0
6.0	7.0
7.0	61.0
8.0	13.0
9.0	81.0
10.0	65.0
11.0	12.0
12.0	33.0
13.0	60.0
14.0	140.0
15.0	230.0
16.0	365.0
17.0	667.0
18.0	1022.0
19.0	1716.0
20.0	2781.0
21.0	3729.0
22.0	4920.0
23.0	6943.0
24.0	8465.0
25.0	9978.0
26.0	11173.0
27.0	12365.0
28.0	13248.0
29.0	12660.0
30.0	12229.0
31.0	11445.0
32.0	10712.0
33.0	9738.0
34.0	8817.0
35.0	7946.0
36.0	6886.0
37.0	5361.0
38.0	4328.0
39.0	3154.0
40.0	2612.0
41.0	1851.0
42.0	1378.0
43.0	967.0
44.0	824.0
45.0	619.0
46.0	398.0
47.0	300.0
48.0	213.0
49.0	132.0
50.0	95.0
51.0	81.0
52.0	115.0
53.0	106.0
54.0	127.0
55.0	160.0
56.0	206.0
57.0	171.0
58.0	167.0
59.0	234.0
60.0	252.0
61.0	249.0
62.0	235.0
63.0	234.0
64.0	172.0
65.0	192.0
66.0	102.0
67.0	92.0
68.0	66.0
69.0	46.0
70.0	78.0
71.0	53.0
72.0	44.0
73.0	35.0
74.0	28.0
75.0	30.0
76.0	13.0
77.0	5.0
78.0	6.0
79.0	2.0
80.0	2.0
124.0	1.0
128.0	1.0
129.0	1.0
132.0	1.0
133.0	1.0
135.0	1.0
136.0	2.0
137.0	3.0
140.0	1.0
141.0	1.0
142.0	2.0
143.0	1.0
144.0	1.0
145.0	2.0
148.0	2.0
149.0	5.0
151.0	3.0
154.0	4.0
155.0	7.0
156.0	4.0
157.0	7.0
158.0	4.0
159.0	7.0
160.0	12.0
161.0	17.0
162.0	5.0
163.0	6.0
164.0	8.0
165.0	14.0
166.0	8.0
167.0	11.0
168.0	11.0
169.0	10.0
170.0	10.0
171.0	12.0
172.0	15.0
173.0	23.0
174.0	25.0
175.0	39.0
176.0	44.0
177.0	46.0
178.0	50.0
179.0	79.0
180.0	79.0
181.0	98.0
182.0	113.0
183.0	137.0
184.0	137.0
185.0	139.0
186.0	98.0
187.0	94.0
188.0	107.0
189.0	87.0
190.0	70.0
191.0	56.0
192.0	45.0
193.0	66.0
194.0	53.0
195.0	72.0
196.0	78.0
197.0	68.0
198.0	55.0
199.0	37.0
200.0	27.0
201.0	26.0
202.0	36.0
203.0	20.0
204.0	34.0
205.0	26.0
206.0	36.0
207.0	38.0
208.0	23.0
209.0	30.0
210.0	14.0
211.0	11.0
212.0	12.0
213.0	11.0
214.0	6.0
215.0	5.0
216.0	12.0
217.0	10.0
218.0	7.0
219.0	9.0
220.0	13.0
221.0	25.0
222.0	14.0
223.0	10.0
224.0	4.0
225.0	9.0
226.0	8.0
227.0	14.0
228.0	10.0
229.0	10.0
230.0	17.0
231.0	16.0
232.0	18.0
233.0	15.0
234.0	20.0
235.0	17.0
236.0	27.0
237.0	19.0
238.0	22.0
239.0	14.0
240.0	18.0
241.0	19.0
242.0	25.0
243.0	22.0
244.0	36.0
245.0	37.0
246.0	29.0
247.0	35.0
248.0	37.0
249.0	32.0
250.0	51.0
251.0	38.0
252.0	44.0
253.0	45.0
254.0	49.0
255.0	53.0
256.0	57.0
257.0	48.0
258.0	38.0
259.0	49.0
260.0	37.0
261.0	51.0
262.0	49.0
263.0	82.0
264.0	72.0
265.0	68.0
266.0	58.0
267.0	90.0
268.0	109.0
269.0	110.0
270.0	106.0
271.0	112.0
272.0	96.0
273.0	98.0
274.0	127.0
275.0	107.0
276.0	118.0
277.0	101.0
278.0	116.0
279.0	114.0
280.0	135.0
281.0	122.0
282.0	136.0
283.0	119.0
284.0	134.0
285.0	123.0
286.0	113.0
287.0	99.0
288.0	111.0
289.0	105.0
290.0	85.0
291.0	80.0
292.0	75.0
293.0	68.0
294.0	51.0
295.0	53.0
296.0	65.0
297.0	61.0
298.0	39.0
299.0	39.0
300.0	38.0
301.0	46.0
302.0	45.0
303.0	22.0
304.0	31.0
305.0	33.0
306.0	31.0
307.0	31.0
308.0	36.0
309.0	37.0
310.0	40.0
311.0	33.0
312.0	36.0
313.0	31.0
314.0	29.0
315.0	24.0
316.0	21.0
317.0	16.0
318.0	11.0
319.0	25.0
320.0	21.0
321.0	16.0
322.0	10.0
323.0	12.0
324.0	12.0
325.0	12.0
326.0	6.0
327.0	10.0
328.0	6.0
329.0	7.0
330.0	11.0
331.0	7.0
332.0	4.0
333.0	8.0
334.0	9.0
335.0	8.0
336.0	12.0
337.0	9.0
338.0	11.0
339.0	13.0
340.0	16.0
341.0	15.0
342.0	19.0
343.0	16.0
344.0	20.0
345.0	15.0
346.0	15.0
347.0	18.0
348.0	13.0
349.0	20.0
350.0	15.0
351.0	20.0
352.0	17.0
353.0	12.0
354.0	18.0
355.0	16.0
356.0	24.0
357.0	22.0
358.0	17.0
359.0	26.0
360.0	26.0
361.0	34.0
362.0	38.0
363.0	38.0
364.0	39.0
365.0	41.0
366.0	40.0
367.0	50.0
368.0	41.0
369.0	41.0
370.0	51.0
371.0	46.0
372.0	47.0
373.0	34.0
374.0	41.0
375.0	36.0
376.0	29.0
377.0	42.0
378.0	45.0
379.0	33.0
380.0	45.0
381.0	38.0
382.0	41.0
383.0	43.0
384.0	29.0
385.0	37.0
386.0	31.0
387.0	25.0
388.0	29.0
389.0	41.0
390.0	44.0
391.0	41.0
392.0	45.0
393.0	59.0
394.0	43.0
395.0	44.0
396.0	40.0
397.0	48.0
398.0	46.0
399.0	38.0
400.0	42.0
401.0	53.0
402.0	47.0
403.0	49.0
404.0	49.0
405.0	33.0
406.0	43.0
