#Coverage (X)	Coverage
1.0	99.818
2.0	99.782
3.0	99.7435
4.0	99.724
5.0	99.667
6.0	99.657
7.0	99.6535
8.0	99.623
9.0	99.6165
10.0	99.576
11.0	99.5435
12.0	99.5375
13.0	99.521
14.0	99.491
15.0	99.421
16.0	99.306
17.0	99.1235
18.0	98.79
19.0	98.279
20.0	97.421
21.0	96.0305
22.0	94.166
23.0	91.706
24.0	88.2345
25.0	84.002
26.0	79.013
27.0	73.4265
28.0	67.244
29.0	60.62
30.0	54.29
31.0	48.1755
32.0	42.453
33.0	37.097
34.0	32.22800000000001
35.0	27.819500000000005
36.0	23.846500000000006
37.0	20.403500000000008
38.0	17.723000000000013
39.0	15.559000000000012
40.0	13.982000000000014
41.0	12.676000000000016
42.0	11.750500000000017
43.0	11.061500000000024
44.0	10.578000000000017
45.0	10.166000000000011
46.0	9.856500000000011
47.0	9.657500000000013
48.0	9.507500000000007
49.0	9.40100000000001
50.0	9.335000000000008
51.0	9.287500000000009
