#Insert size (bp)	insert size
2.0	13.0
3.0	24.0
4.0	15.0
5.0	19.0
6.0	26.0
7.0	21.0
8.0	27.0
9.0	17.0
10.0	31.0
11.0	21.0
12.0	23.0
13.0	32.0
14.0	27.0
15.0	20.0
16.0	24.0
17.0	22.0
18.0	29.0
19.0	31.0
20.0	30.0
21.0	33.0
22.0	28.0
23.0	38.0
24.0	35.0
25.0	36.0
26.0	31.0
27.0	33.0
28.0	33.0
29.0	44.0
30.0	45.0
31.0	47.0
32.0	76.0
33.0	44.0
34.0	54.0
35.0	58.0
36.0	47.0
37.0	63.0
38.0	68.0
39.0	59.0
40.0	84.0
41.0	56.0
42.0	45.0
43.0	46.0
44.0	42.0
45.0	42.0
46.0	63.0
47.0	43.0
48.0	34.0
49.0	38.0
50.0	53.0
51.0	48.0
52.0	33.0
53.0	39.0
54.0	29.0
55.0	74.0
56.0	36.0
57.0	30.0
58.0	26.0
59.0	27.0
60.0	21.0
61.0	25.0
62.0	20.0
63.0	20.0
64.0	31.0
65.0	28.0
66.0	10.0
67.0	75.0
68.0	16.0
69.0	20.0
70.0	13.0
71.0	59.0
72.0	66.0
73.0	18.0
74.0	24.0
75.0	27.0
76.0	39.0
77.0	35.0
78.0	34.0
79.0	29.0
80.0	103.0
81.0	34.0
82.0	133.0
83.0	25.0
84.0	21.0
85.0	28.0
86.0	41.0
87.0	36.0
88.0	31.0
89.0	117.0
90.0	133.0
91.0	85.0
92.0	32.0
93.0	25.0
94.0	24.0
95.0	32.0
96.0	26.0
97.0	36.0
98.0	26.0
99.0	30.0
100.0	27.0
101.0	84.0
102.0	38.0
103.0	30.0
104.0	25.0
105.0	42.0
106.0	37.0
107.0	46.0
108.0	31.0
109.0	41.0
110.0	40.0
111.0	56.0
112.0	92.0
113.0	58.0
114.0	41.0
115.0	43.0
116.0	48.0
117.0	93.0
118.0	60.0
119.0	55.0
120.0	66.0
121.0	61.0
122.0	56.0
123.0	71.0
124.0	60.0
125.0	57.0
126.0	102.0
127.0	63.0
128.0	52.0
129.0	54.0
130.0	41.0
131.0	48.0
132.0	36.0
133.0	41.0
134.0	39.0
135.0	51.0
136.0	39.0
137.0	38.0
138.0	36.0
139.0	27.0
140.0	26.0
141.0	19.0
142.0	35.0
143.0	31.0
144.0	31.0
145.0	20.0
146.0	22.0
147.0	21.0
148.0	29.0
149.0	19.0
150.0	28.0
151.0	22.0
152.0	58.0
153.0	18.0
154.0	12.0
155.0	42.0
156.0	20.0
157.0	14.0
158.0	26.0
159.0	18.0
160.0	15.0
161.0	7.0
162.0	14.0
163.0	19.0
164.0	15.0
165.0	15.0
166.0	20.0
167.0	9.0
168.0	18.0
169.0	9.0
170.0	25.0
171.0	15.0
172.0	16.0
173.0	18.0
174.0	12.0
175.0	12.0
176.0	24.0
177.0	16.0
178.0	14.0
179.0	18.0
180.0	32.0
181.0	84.0
182.0	20.0
183.0	16.0
184.0	9.0
185.0	19.0
186.0	19.0
187.0	22.0
188.0	15.0
189.0	15.0
190.0	22.0
191.0	20.0
192.0	12.0
193.0	24.0
194.0	24.0
195.0	15.0
196.0	15.0
197.0	14.0
198.0	8.0
199.0	14.0
200.0	5.0
201.0	31.0
202.0	10.0
203.0	11.0
204.0	10.0
205.0	6.0
206.0	7.0
207.0	11.0
208.0	11.0
209.0	43.0
210.0	8.0
211.0	13.0
212.0	13.0
213.0	4.0
214.0	12.0
215.0	14.0
216.0	11.0
217.0	12.0
218.0	58.0
219.0	21.0
220.0	18.0
221.0	10.0
222.0	14.0
223.0	68.0
224.0	11.0
225.0	17.0
226.0	10.0
227.0	24.0
228.0	22.0
229.0	20.0
230.0	31.0
231.0	28.0
232.0	34.0
233.0	39.0
234.0	33.0
235.0	44.0
236.0	35.0
237.0	32.0
238.0	30.0
239.0	38.0
240.0	30.0
241.0	46.0
242.0	40.0
243.0	41.0
244.0	32.0
245.0	28.0
246.0	42.0
247.0	33.0
248.0	26.0
249.0	41.0
250.0	41.0
251.0	32.0
252.0	48.0
253.0	46.0
254.0	29.0
255.0	49.0
256.0	38.0
257.0	38.0
258.0	37.0
259.0	35.0
260.0	30.0
261.0	27.0
262.0	36.0
263.0	30.0
264.0	42.0
265.0	42.0
266.0	42.0
267.0	63.0
268.0	38.0
269.0	32.0
270.0	33.0
271.0	51.0
272.0	52.0
273.0	61.0
274.0	38.0
275.0	60.0
276.0	53.0
277.0	54.0
278.0	59.0
279.0	37.0
280.0	50.0
281.0	58.0
282.0	46.0
283.0	55.0
284.0	57.0
285.0	49.0
286.0	46.0
287.0	53.0
288.0	54.0
289.0	58.0
290.0	51.0
291.0	58.0
292.0	57.0
293.0	45.0
294.0	64.0
295.0	48.0
296.0	60.0
297.0	57.0
298.0	73.0
299.0	67.0
300.0	71.0
301.0	53.0
302.0	55.0
303.0	76.0
304.0	54.0
305.0	57.0
306.0	43.0
307.0	71.0
308.0	56.0
309.0	69.0
310.0	54.0
311.0	51.0
312.0	86.0
313.0	65.0
314.0	52.0
315.0	75.0
316.0	73.0
317.0	61.0
