#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_73696_cov_32.301567:70593-73529|+ -            979 226                  -            969         0 1270.1  70.0   1   1         0         0 1270.0  70.0     1   968     1   975     1   976 0.99 NODE_1_length_73696_cov_32.301567_58 # 70593 # 73529 # 1 # ID=1_58;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.304
NODE_38_length_3285_cov_11.738442:163-780|-     -            206 226                  -            969   0.00024   14.3  13.1   1   1   5.6e-06   0.00032   13.9  13.1   283   400    30   147    16   202 0.70 NODE_38_length_3285_cov_11.738442_1 # 163 # 780 # -1 # ID=38_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.286
NODE_36_length_3656_cov_19.174837:1434-2051|-   -            206 226                  -            969   0.00028   14.1  13.3   1   1   6.4e-06   0.00037   13.7  13.3   283   400    30   147    16   203 0.69 NODE_36_length_3656_cov_19.174837_2 # 1434 # 2051 # -1 # ID=36_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.290
NODE_1_length_73696_cov_32.301567:5833-7098|-   -            422 226                  -            969    0.0026   10.9   6.1   1   1   6.7e-05    0.0038   10.4   6.1   266   358    10   102     2   115 0.55 NODE_1_length_73696_cov_32.301567_6 # 5833 # 7098 # -1 # ID=1_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.310
NODE_12_length_18973_cov_26.749390:445-3684|+   -           1080 226                  -            969     0.007    9.5  82.0   1   3   5.9e-05    0.0034   10.6  29.6   253   381    29   155    21   164 0.77 NODE_12_length_18973_cov_26.749390_1 # 445 # 3684 # 1 # ID=12_1;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.300
NODE_12_length_18973_cov_26.749390:445-3684|+   -           1080 226                  -            969     0.007    9.5  82.0   2   3   1.7e-05   0.00095   12.4  36.0   568   716   162   314   157   366 0.81 NODE_12_length_18973_cov_26.749390_1 # 445 # 3684 # 1 # ID=12_1;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.300
NODE_12_length_18973_cov_26.749390:445-3684|+   -           1080 226                  -            969     0.007    9.5  82.0   3   3       1.5        88   -4.1   1.6   294   728   506   538   432   615 0.53 NODE_12_length_18973_cov_26.749390_1 # 445 # 3684 # 1 # ID=12_1;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.300
NODE_137_length_332_cov_33.043902:3-332|+       -            110 226                  -            969     0.013    8.6  20.8   1   1   0.00024     0.014    8.5  20.8   644   742     4   102     1   110 0.39 NODE_137_length_332_cov_33.043902_1 # 3 # 332 # 1 # ID=137_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.270
NODE_36_length_3656_cov_19.174837:2067-3656|-   -            530 226                  -            969     0.019    8.0  36.5   1   3   4.9e-05    0.0028   10.8  11.0   237   373    76   207    66   227 0.80 NODE_36_length_3656_cov_19.174837_3 # 2067 # 3656 # -1 # ID=36_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
NODE_36_length_3656_cov_19.174837:2067-3656|-   -            530 226                  -            969     0.019    8.0  36.5   2   3      0.27        15   -1.6   0.3   685   736   266   316   228   337 0.50 NODE_36_length_3656_cov_19.174837_3 # 2067 # 3656 # -1 # ID=36_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
NODE_36_length_3656_cov_19.174837:2067-3656|-   -            530 226                  -            969     0.019    8.0  36.5   3   3   0.00046     0.026    7.6  11.9   307   380   410   483   340   489 0.55 NODE_36_length_3656_cov_19.174837_3 # 2067 # 3656 # -1 # ID=36_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
NODE_138_length_332_cov_25.931707:1-330|-       -            110 226                  -            969     0.021    7.9  19.7   1   1   0.00039     0.022    7.8  19.7   645   742     5   102     1   110 0.35 NODE_138_length_332_cov_25.931707_1 # 1 # 330 # -1 # ID=138_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.267
NODE_141_length_306_cov_30.709497:1-306|-       -            102 226                  -            969     0.024    7.7  13.6   1   1   0.00048     0.028    7.5  13.6   306   396     7    97     1   101 0.62 NODE_141_length_306_cov_30.709497_1 # 1 # 306 # -1 # ID=141_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.245
NODE_144_length_274_cov_8.761905:3-272|-        -             90 226                  -            969     0.032    7.3  16.3   1   1   0.00058     0.033    7.3  16.3   570   726     5    86     1    90 0.32 NODE_144_length_274_cov_8.761905_1 # 3 # 272 # -1 # ID=144_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
NODE_7_length_31690_cov_28.497069:26895-28127|+ -            411 226                  -            969      0.17    4.9  92.5   1   2   5.3e-05     0.003   10.7  48.4   203   412    29   237    18   245 0.89 NODE_7_length_31690_cov_28.497069_37 # 26895 # 28127 # 1 # ID=7_37;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.234
NODE_7_length_31690_cov_28.497069:26895-28127|+ -            411 226                  -            969      0.17    4.9  92.5   2   2      0.17       9.5   -0.9  37.3   240   395   247   409   236   410 0.69 NODE_7_length_31690_cov_28.497069_37 # 26895 # 28127 # 1 # ID=7_37;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.234
NODE_2_length_68051_cov_18.212929:19200-21350|- -            717 226                  -            969       0.2    4.7  30.2   1   3      0.18        10   -1.0   0.4    20    41   128   149   123   152 0.84 NODE_2_length_68051_cov_18.212929_22 # 19200 # 21350 # -1 # ID=2_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.302
NODE_2_length_68051_cov_18.212929:19200-21350|- -            717 226                  -            969       0.2    4.7  30.2   2   3   5.3e-06    0.0003   14.0  16.2   268   419   244   398   202   409 0.77 NODE_2_length_68051_cov_18.212929_22 # 19200 # 21350 # -1 # ID=2_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.302
