#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_15897_cov_20.600380:11872-14862|+ -            997 7090                 -            987         0 1126.0  79.8   1   1         0         0 1125.8  79.8     1   985     1   990     1   992 0.94 NODE_14_length_15897_cov_20.600380_10 # 11872 # 14862 # 1 # ID=14_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.258
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   1   8    0.0097       3.3    0.8  11.3   783   974    95   285    61   296 0.67 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   2   8   1.1e-05    0.0038   10.5   1.5     4    72   320   389   317   511 0.72 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   3   8     0.011       3.8    0.6   0.7    72   132   598   663   591   764 0.58 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   4   8   1.3e-13   4.4e-11   36.8   0.5   183   321   768   897   760   902 0.86 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   5   8   9.7e-06    0.0033   10.7   0.0   323   380   940   997   939  1006 0.94 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   6   8   5.4e-09   1.8e-06   21.5   0.0   438   574  1023  1172  1000  1174 0.75 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   7   8     6e-09   2.1e-06   21.3   0.8   683   720  1255  1292  1242  1300 0.90 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
NODE_1_length_73696_cov_32.301567:60184-64497|+  -           1438 7090                 -            987   1.1e-30  101.7  43.5   8   8   2.8e-07   9.5e-05   15.8   0.1   729   821  1338  1429  1325  1436 0.81 NODE_1_length_73696_cov_32.301567_51 # 60184 # 64497 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.297
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/7090at2085.hmm
# Target file:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/run_mycoplasmatales_odb12/hmmer_output/7090at2085.out --cpu 1 /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/7090at2085.hmm /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3
# Date:            Tue Oct 28 11:31:03 2025
# [ok]
