# BUSCO version is: 6.0.0 
# The lineage dataset is: mycoplasmatales_odb12 (Creation date: 2025-05-14, number of genomes: 32, number of BUSCOs: 205)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
226at2085	Complete	NODE_1_length_73696_cov_32.301567	70593	73529	+	1270.1	968
630at2085	Complete	NODE_6_length_32321_cov_28.623066	8941	7442	-	808.0	496
631at2085	Complete	NODE_5_length_37041_cov_13.966598	32200	30461	-	859.8	547
1061at2085	Complete	NODE_9_length_27958_cov_8.304588	5453	7552	+	435.8	683
1084at2085	Complete	NODE_4_length_40423_cov_18.794992	12997	11723	-	599.4	405
1287at2085	Complete	NODE_4_length_40423_cov_18.794992	20061	17398	-	1304.4	894
1629at2085	Complete	NODE_5_length_37041_cov_13.966598	33201	32200	-	501.1	323
1809at2085	Complete	NODE_34_length_4384_cov_5.495419	3075	4223	+	531.2	384
1944at2085	Complete	NODE_1_length_73696_cov_32.301567	67241	68869	+	717.0	550
1999at2085	Complete	NODE_9_length_27958_cov_8.304588	23182	22475	-	249.2	214
2801at2085	Complete	NODE_2_length_68051_cov_18.212929	50752	52080	+	592.3	448
2865at2085	Complete	NODE_13_length_17613_cov_8.412730	3345	2443	-	429.7	302
2883at2085	Complete	NODE_1_length_73696_cov_32.301567	56413	57468	+	544.0	347
3185at2085	Complete	NODE_4_length_40423_cov_18.794992	21190	20078	-	600.7	360
3199at2085	Complete	NODE_1_length_73696_cov_32.301567	38054	38953	+	341.5	259
3359at2085	Complete	NODE_1_length_73696_cov_32.301567	59128	60081	+	162.9	236
3741at2085	Complete	NODE_26_length_7419_cov_61.815277	3043	3735	+	270.5	218
4107at2085	Complete	NODE_24_length_9019_cov_11.601552	4391	4978	+	244.7	178
4153at2085	Complete	NODE_8_length_30985_cov_8.604803	28474	27743	-	357.8	239
4216at2085	Complete	NODE_7_length_31690_cov_28.497069	8093	7554	-	294.3	179
4593at2085	Complete	NODE_7_length_31690_cov_28.497069	8528	8115	-	209.2	133
4608at2085	Complete	NODE_5_length_37041_cov_13.966598	25089	25679	+	192.7	192
4611at2085	Complete	NODE_14_length_15897_cov_20.600380	8199	7411	-	143.6	162
4733at2085	Complete	NODE_10_length_23813_cov_7.225619	17532	17137	-	167.4	127
4748at2085	Complete	NODE_5_length_37041_cov_13.966598	13955	14398	+	249.1	145
4784at2085	Complete	NODE_27_length_6314_cov_8.731372	1388	990	-	211.1	129
4835at2085	Complete	NODE_19_length_11726_cov_40.857229	397	894	+	183.9	161
5077at2085	Complete	NODE_5_length_37041_cov_13.966598	27199	27912	+	323.6	243
5160at2085	Complete	NODE_8_length_30985_cov_8.604803	6317	6937	+	226.0	196
5405at2085	Complete	NODE_7_length_31690_cov_28.497069	10008	9640	-	207.6	121
5451at2085	Complete	NODE_7_length_31690_cov_28.497069	15840	15535	-	151.1	98
5514at2085	Complete	NODE_7_length_31690_cov_28.497069	7532	7185	-	150.3	114
5559at2085	Complete	NODE_2_length_68051_cov_18.212929	48985	49617	+	264.4	188
5880at2085	Complete	NODE_11_length_19569_cov_10.168861	658	1425	+	242.0	205
5882at2085	Complete	NODE_10_length_23813_cov_7.225619	18624	18980	+	176.6	115
5917at2085	Complete	NODE_13_length_17613_cov_8.412730	13815	14687	+	177.2	240
5980at2085	Complete	NODE_7_length_31690_cov_28.497069	3172	2957	-	120.3	70
5993at2085	Complete	NODE_7_length_31690_cov_28.497069	10285	10001	-	141.8	82
6032at2085	Complete	NODE_14_length_15897_cov_20.600380	2046	1822	-	118.8	67
6044at2085	Complete	NODE_7_length_31690_cov_28.497069	1016	651	-	178.8	122
6132at2085	Complete	NODE_16_length_15078_cov_9.801084	14374	14694	+	133.5	104
6134at2085	Complete	NODE_28_length_5889_cov_5.042694	4252	3986	-	137.9	88
6161at2085	Complete	NODE_2_length_68051_cov_18.212929	6598	6795	+	108.7	64
6185at2085	Complete	NODE_19_length_11726_cov_40.857229	917	1291	+	175.7	122
6296at2085	Complete	NODE_7_length_31690_cov_28.497069	19850	20065	+	111.8	69
6342at2085	Complete	NODE_7_length_31690_cov_28.497069	8716	8531	-	127.2	61
6351at2085	Complete	NODE_1_length_73696_cov_32.301567	1263	955	-	111.7	93
6376at2085	Complete	NODE_8_length_30985_cov_8.604803	6188	5640	-	295.1	178
6384at2085	Complete	NODE_4_length_40423_cov_18.794992	32844	31903	-	437.6	304
6396at2085	Complete	NODE_10_length_23813_cov_7.225619	23476	23174	-	161.3	98
6398at2085	Complete	NODE_10_length_23813_cov_7.225619	17684	17941	+	131.9	85
6403at2085	Complete	NODE_7_length_31690_cov_28.497069	10940	10491	-	246.6	137
6416at2085	Missing
6419at2085	Complete	NODE_18_length_12121_cov_14.008754	7775	4947	-	1606.6	940
6426at2085	Complete	NODE_18_length_12121_cov_14.008754	3893	2958	-	406.7	298
6446at2085	Complete	NODE_19_length_11726_cov_40.857229	1425	5024	+	1965.0	1187
6471at2085	Complete	NODE_8_length_30985_cov_8.604803	11906	13591	+	796.9	566
6472at2085	Complete	NODE_1_length_73696_cov_32.301567	57791	58519	+	366.1	235
6487at2085	Complete	NODE_7_length_31690_cov_28.497069	13162	12317	-	528.9	281
6500at2085	Complete	NODE_5_length_37041_cov_13.966598	25694	26335	+	224.6	194
6501at2085	Complete	NODE_1_length_73696_cov_32.301567	41664	43010	+	725.8	443
6508at2085	Complete	NODE_7_length_31690_cov_28.497069	12317	12042	-	168.2	87
6514at2085	Complete	NODE_5_length_37041_cov_13.966598	14398	15090	+	366.8	228
6528at2085	Complete	NODE_8_length_30985_cov_8.604803	2796	2239	-	291.6	183
6546at2085	Complete	NODE_4_length_40423_cov_18.794992	5687	5271	-	267.8	138
6577at2085	Complete	NODE_11_length_19569_cov_10.168861	9961	10113	+	94.0	49
6603at2085	Complete	NODE_8_length_30985_cov_8.604803	18992	19558	+	252.2	175
6610at2085	Complete	NODE_7_length_31690_cov_28.497069	2053	1019	-	403.3	306
6631at2085	Complete	NODE_25_length_8282_cov_25.433476	3996	4625	+	330.5	206
6640at2085	Complete	NODE_7_length_31690_cov_28.497069	15462	14656	-	382.5	242
6658at2085	Complete	NODE_19_length_11726_cov_40.857229	5026	9432	+	2160.5	1292
6667at2085	Complete	NODE_2_length_68051_cov_18.212929	25883	26764	+	347.4	284
6688at2085	Complete	NODE_2_length_68051_cov_18.212929	63506	64699	+	801.3	395
6752at2085	Complete	NODE_2_length_68051_cov_18.212929	21350	19200	-	1145.3	710
6814at2085	Complete	NODE_4_length_40423_cov_18.794992	4757	2664	-	1330.8	684
6816at2085	Complete	NODE_4_length_40423_cov_18.794992	31891	29717	-	790.3	757
6834at2085	Complete	NODE_22_length_10644_cov_15.898355	2404	584	-	1012.6	612
