# BUSCO version is: 6.0.0 
# The lineage dataset is: mycoplasmatales_odb12 (Creation date: 2025-05-14, number of genomes: 32, number of BUSCOs: 205)
# Busco id	Status	Sequence	Score	Length
226at2085	Complete	MINDJIJG_00058	1270.2	968
630at2085	Complete	MINDJIJG_00249	808.0	496
631at2085	Complete	MINDJIJG_00238	859.8	547
1061at2085	Complete	MINDJIJG_00341	435.8	683
1084at2085	Complete	MINDJIJG_00175	599.5	405
1287at2085	Complete	MINDJIJG_00182	1304.4	894
1629at2085	Complete	MINDJIJG_00239	501.1	323
1809at2085	Complete	MINDJIJG_00580	531.2	384
1944at2085	Complete	MINDJIJG_00055	717.0	550
1999at2085	Complete	MINDJIJG_00352	249.3	214
2801at2085	Complete	MINDJIJG_00105	592.3	448
2865at2085	Complete	MINDJIJG_00413	429.8	302
2883at2085	Complete	MINDJIJG_00046	544.0	347
3185at2085	Complete	MINDJIJG_00183	600.7	360
3199at2085	Complete	MINDJIJG_00032	341.5	259
3359at2085	Complete	MINDJIJG_00050	162.9	236
3741at2085	Complete	MINDJIJG_00539	270.5	218
4107at2085	Complete	MINDJIJG_00525	244.8	178
4153at2085	Complete	MINDJIJG_00334	357.8	239
4216at2085	Complete	MINDJIJG_00277	294.3	179
4593at2085	Complete	MINDJIJG_00278	209.2	133
4608at2085	Complete	MINDJIJG_00230	192.7	192
4611at2085	Complete	MINDJIJG_00436	143.5	162
4733at2085	Complete	MINDJIJG_00376	167.4	127
4748at2085	Complete	MINDJIJG_00220	249.1	145
4784at2085	Complete	MINDJIJG_00546	211.1	129
4835at2085	Complete	MINDJIJG_00482	183.9	161
5077at2085	Complete	MINDJIJG_00233	323.6	243
5160at2085	Complete	MINDJIJG_00313	226.0	196
5405at2085	Complete	MINDJIJG_00282	207.6	121
5451at2085	Complete	MINDJIJG_00293	151.2	98
5514at2085	Complete	MINDJIJG_00276	150.4	114
5559at2085	Complete	MINDJIJG_00102	264.5	188
5880at2085	Complete	MINDJIJG_00386	242.0	205
5882at2085	Complete	MINDJIJG_00379	176.7	115
5917at2085	Complete	MINDJIJG_00428	177.3	240
5980at2085	Complete	MINDJIJG_00270	120.4	70
5993at2085	Complete	MINDJIJG_00283	141.9	82
6032at2085	Complete	MINDJIJG_00432	118.8	67
6044at2085	Complete	MINDJIJG_00266	178.9	122
6132at2085	Complete	MINDJIJG_00460	133.6	104
6134at2085	Complete	MINDJIJG_00554	138.0	88
6161at2085	Complete	MINDJIJG_00067	108.8	64
6185at2085	Complete	MINDJIJG_00483	175.7	122
6296at2085	Complete	MINDJIJG_00296	111.9	69
6342at2085	Complete	MINDJIJG_00279	127.2	61
6351at2085	Complete	MINDJIJG_00002	111.8	93
6376at2085	Complete	MINDJIJG_00312	295.2	178
6384at2085	Complete	MINDJIJG_00196	437.6	304
6396at2085	Complete	MINDJIJG_00384	161.3	98
6398at2085	Complete	MINDJIJG_00377	132.0	85
6403at2085	Complete	MINDJIJG_00285	246.6	137
6416at2085	Missing
6419at2085	Complete	MINDJIJG_00477	1606.6	940
6426at2085	Complete	MINDJIJG_00475	406.7	298
6446at2085	Complete	MINDJIJG_00484	1965.0	1187
6471at2085	Complete	MINDJIJG_00317	796.9	566
6472at2085	Complete	MINDJIJG_00048	366.1	235
6487at2085	Complete	MINDJIJG_00289	529.0	281
6500at2085	Complete	MINDJIJG_00231	224.6	194
6501at2085	Complete	MINDJIJG_00035	725.8	443
6508at2085	Complete	MINDJIJG_00288	168.2	87
6514at2085	Complete	MINDJIJG_00221	366.8	228
6528at2085	Complete	MINDJIJG_00307	291.6	183
6546at2085	Complete	MINDJIJG_00160	267.8	138
6577at2085	Complete	MINDJIJG_00390	94.1	49
6603at2085	Complete	MINDJIJG_00325	252.2	175
6610at2085	Complete	MINDJIJG_00267	403.3	306
6631at2085	Complete	MINDJIJG_00532	330.5	206
6640at2085	Complete	MINDJIJG_00292	382.5	242
6658at2085	Complete	MINDJIJG_00485	2160.5	1292
6667at2085	Complete	MINDJIJG_00089	347.4	284
6688at2085	Complete	MINDJIJG_00113	801.4	395
6752at2085	Complete	MINDJIJG_00082	1145.3	710
6814at2085	Complete	MINDJIJG_00158	1330.8	684
6816at2085	Complete	MINDJIJG_00195	790.3	757
6834at2085	Complete	MINDJIJG_00507	1012.6	612
6880at2085	Complete	MINDJIJG_00049	236.5	183
6885at2085	Complete	MINDJIJG_00496	484.1	425
6889at2085	Complete	MINDJIJG_00164	400.2	281
6922at2085	Complete	MINDJIJG_00136	393.6	294
6929at2085	Complete	MINDJIJG_00383	144.7	84
6930at2085	Complete	MINDJIJG_00472	375.1	283
6932at2085	Complete	MINDJIJG_00242	176.5	146
6977at2085	Complete	MINDJIJG_00410	490.4	312
6980at2085	Complete	MINDJIJG_00106	645.7	470
7001at2085	Complete	MINDJIJG_00269	222.4	121
7006at2085	Complete	MINDJIJG_00159	296.7	155
7008at2085	Complete	MINDJIJG_00225	1322.7	819
7026at2085	Complete	MINDJIJG_00533	424.9	285
7035at2085	Complete	MINDJIJG_00088	875.8	487
7039at2085	Complete	MINDJIJG_00271	368.1	245
7055at2085	Complete	MINDJIJG_00122	355.5	268
7075at2085	Missing
7085at2085	Complete	MINDJIJG_00530	656.4	425
7090at2085	Complete	MINDJIJG_00442	1126.0	985
7112at2085	Complete	MINDJIJG_00129	1033.4	590
7136at2085	Complete	MINDJIJG_00547	237.3	144
7152at2085	Complete	MINDJIJG_00362	252.7	225
7168at2085	Complete	MINDJIJG_00316	556.0	424
7172at2085	Complete	MINDJIJG_00434	1111.2	594
7202at2085	Complete	MINDJIJG_00577	241.7	184
7206at2085	Complete	MINDJIJG_00029	372.9	289
7231at2085	Complete	MINDJIJG_00119	287.5	190
7270at2085	Complete	MINDJIJG_00188	402.7	378
7292at2085	Complete	MINDJIJG_00222	750.5	443
7308at2085	Complete	MINDJIJG_00273	664.1	470
7410at2085	Complete	MINDJIJG_00437	374.0	317
7412at2085	Complete	MINDJIJG_00395	409.9	427
7434at2085	Complete	MINDJIJG_00552	239.0	246
7448at2085	Complete	MINDJIJG_00135	407.3	263
7500at2085	Complete	MINDJIJG_00208	325.9	196
7502at2085	Complete	MINDJIJG_00057	214.7	209
7504at2085	Complete	MINDJIJG_00274	207.6	140
7514at2085	Complete	MINDJIJG_00378	335.0	216
7526at2085	Complete	MINDJIJG_00553	248.8	165
7532at2085	Complete	MINDJIJG_00353	586.0	358
7542at2085	Complete	MINDJIJG_00330	361.8	277
7544at2085	Complete	MINDJIJG_00006	679.1	418
7579at2085	Complete	MINDJIJG_00176	725.3	518
7585at2085	Complete	MINDJIJG_00193	396.9	261
7607at2085	Complete	MINDJIJG_00583	1032.8	649
7622at2085	Complete	MINDJIJG_00069	288.2	241
7633at2085	Complete	MINDJIJG_00430	790.0	490
7665at2085	Complete	MINDJIJG_00256	224.0	199
7671at2085	Complete	MINDJIJG_00178	217.8	154
7697at2085	Complete	MINDJIJG_00038	853.6	694
7741at2085	Complete	MINDJIJG_00350	777.3	579
7742at2085	Complete	MINDJIJG_00246	510.2	377
7744at2085	Complete	MINDJIJG_00493	226.2	178
7755at2085	Complete	MINDJIJG_00345	664.7	431
7778at2085	Complete	MINDJIJG_00393	417.3	274
7784at2085	Complete	MINDJIJG_00538	511.8	389
7787at2085	Missing
7796at2085	Complete	MINDJIJG_00031	683.1	432
7803at2085	Complete	MINDJIJG_00342	189.5	161
7809at2085	Complete	MINDJIJG_00529	350.9	229
7813at2085	Complete	MINDJIJG_00064	404.7	348
7823at2085	Complete	MINDJIJG_00244	355.9	269
7829at2085	Complete	MINDJIJG_00531	346.4	213
7831at2085	Complete	MINDJIJG_00003	732.8	475
7843at2085	Complete	MINDJIJG_00435	917.5	571
7848at2085	Complete	MINDJIJG_00400	585.9	365
7851at2085	Complete	MINDJIJG_00509	937.3	605
7853at2085	Missing
7855at2085	Complete	MINDJIJG_00331	877.3	662
7924at2085	Complete	MINDJIJG_00473	925.5	566
7933at2085	Complete	MINDJIJG_00456	380.8	256
7934at2085	Complete	MINDJIJG_00394	590.3	432
7943at2085	Complete	MINDJIJG_00268	211.8	123
7945at2085	Complete	MINDJIJG_00346	278.2	216
7950at2085	Complete	MINDJIJG_00012	274.4	201
7983at2085	Complete	MINDJIJG_00008	262.3	179
8021at2085	Complete	MINDJIJG_00291	275.2	196
8038at2085	Complete	MINDJIJG_00262	745.5	553
8040at2085	Complete	MINDJIJG_00043	558.8	428
8042at2085	Complete	MINDJIJG_00005	746.7	471
8047at2085	Complete	MINDJIJG_00275	293.6	187
8060at2085	Complete	MINDJIJG_00215	597.6	551
8077at2085	Complete	MINDJIJG_00314	442.2	314
8095at2085	Complete	MINDJIJG_00263	252.8	170
8107at2085	Complete	MINDJIJG_00320	181.7	138
8160at2085	Complete	MINDJIJG_00272	263.1	204
8166at2085	Complete	MINDJIJG_00491	134.2	166
8189at2085	Complete	MINDJIJG_00051	1972.3	1458
8199at2085	Complete	MINDJIJG_00308	302.5	237
8232at2085	Complete	MINDJIJG_00200	120.6	81
8245at2085	Complete	MINDJIJG_00019	245.9	209
8263at2085	Complete	MINDJIJG_00137	261.0	279
8311at2085	Complete	MINDJIJG_00425	304.3	271
8382at2085	Complete	MINDJIJG_00224	470.4	417
10882at2085	Complete	MINDJIJG_00319	723.4	647
10883at2085	Complete	MINDJIJG_00010	996.5	688
10887at2085	Complete	MINDJIJG_00396	739.3	449
10888at2085	Complete	MINDJIJG_00397	679.8	434
10892at2085	Complete	MINDJIJG_00537	731.2	544
10894at2085	Complete	MINDJIJG_00025	742.5	455
10897at2085	Complete	MINDJIJG_00110	633.1	394
10902at2085	Complete	MINDJIJG_00391	495.4	337
10906at2085	Complete	MINDJIJG_00524	599.2	364
10907at2085	Complete	MINDJIJG_00190	514.7	392
10913at2085	Complete	MINDJIJG_00476	370.1	296
10915at2085	Complete	MINDJIJG_00194	543.6	325
10916at2085	Complete	MINDJIJG_00381	588.0	401
10924at2085	Complete	MINDJIJG_00228	507.0	445
10925at2085	Complete	MINDJIJG_00056	394.5	332
10927at2085	Complete	MINDJIJG_00103	341.0	268
10928at2085	Complete	MINDJIJG_00492	450.1	303
10930at2085	Complete	MINDJIJG_00286	350.5	221
10934at2085	Complete	MINDJIJG_00009	326.8	282
10938at2085	Complete	MINDJIJG_00280	317.3	179
10939at2085	Complete	MINDJIJG_00027	390.3	646
10942at2085	Complete	MINDJIJG_00121	366.0	317
10945at2085	Complete	MINDJIJG_00084	291.0	232
10952at2085	Complete	MINDJIJG_00068	283.3	255
10966at2085	Complete	MINDJIJG_00100	268.4	235
10967at2085	Missing
10978at2085	Complete	MINDJIJG_00023	244.4	236
10984at2085	Complete	MINDJIJG_00187	427.2	325
10990at2085	Complete	MINDJIJG_00123	267.6	209
10991at2085	Complete	MINDJIJG_00184	194.9	114
11005at2085	Complete	MINDJIJG_00281	122.1	102
11010at2085	Complete	MINDJIJG_00028	188.6	145
11025at2085	Complete	MINDJIJG_00185	115.1	61
