#Position (bp)	Coverage
250.5	13.944
750.5	33.296
1250.5	33.772
1750.5	27.126
2250.5	29.994
2750.5	24.736
3250.5	22.22
3750.5	33.148
4250.5	33.676
4750.5	42.962
5250.5	47.532
5750.5	33.744
6250.5	25.022
6750.5	36.264
7250.5	34.82
7750.5	24.558
8250.5	26.68
8750.5	24.76
9250.5	30.754
9750.5	21.81
10250.5	34.048
10750.5	31.092
11250.5	29.238
11750.5	31.13
12250.5	29.086
12750.5	28.304
13250.5	178.626
13750.5	49.758
14250.5	36.148
14750.5	30.546
15250.5	38.49
15750.5	34.784
16250.5	28.97
16750.5	23.49
17250.5	29.778
17750.5	30.512
18250.5	29.018
18750.5	35.338
19250.5	32.41
19750.5	26.78
20250.5	27.694
20750.5	29.362
21250.5	24.29
21750.5	35.376
22250.5	33.814
22750.5	23.886
23250.5	25.902
23750.5	21.566
24250.5	34.672
24750.5	35.644
25250.5	26.872
25750.5	27.604
26250.5	49.506
26750.5	32.78
27250.5	23.36
27750.5	28.896
28250.5	30.646
28750.5	35.26
29250.5	25.888
29750.5	29.112
30250.5	29.574
30750.5	187.602
31250.5	119.714
31750.5	193.81
32250.5	503.994
32750.5	34.65
33250.5	31.182
33750.5	32.04
34250.5	26.246
34750.5	28.394
35250.5	30.668
35750.5	33.106
36250.5	48.816
36750.5	401.714
37250.5	623.632
37750.5	206.864
38250.5	36.08
38750.5	28.358
39250.5	25.344
39750.5	31.796
40250.5	31.828
40750.5	33.826
41250.5	26.952
41750.5	26.502
42250.5	29.242
42750.5	32.844
43250.5	28.208
43750.5	32.404
44250.5	31.304
44750.5	40.392
45250.5	31.684
45750.5	29.102
46250.5	28.054
46750.5	30.462
47250.5	30.988
47750.5	54.264
48250.5	53.238
48750.5	30.308
49250.5	28.264
49750.5	63.96
50250.5	403.544
50750.5	387.464
51250.5	359.572
51750.5	347.172
52250.5	31.776
52750.5	27.86
53250.5	34.612
53750.5	28.292
54250.5	28.956
54750.5	35.708
55250.5	28.91
55750.5	32.234
56250.5	30.524
56750.5	32.418
57250.5	33.986
57750.5	28.642
58250.5	31.534
58750.5	35.134
59250.5	37.706
59750.5	36.66
60250.5	29.538
60750.5	24.662
61250.5	28.49
61750.5	34.746
62250.5	47.248
62750.5	324.292
63250.5	24.358
63750.5	27.352
64250.5	29.656
64750.5	28.778
65250.5	29.134
65750.5	27.196
66250.5	31.644
66750.5	31.278
67250.5	27.65
67750.5	30.544
68250.5	26.064
68750.5	30.254
69250.5	33.43
69750.5	37.122
70250.5	635.864
70750.5	29.236
71250.5	32.32
71750.5	35.364
72250.5	32.086
72750.5	32.99
73250.5	28.318
73750.5	33.866
74250.5	385.704
74750.5	192.974
75250.5	29.368
75750.5	223.914
76250.5	31.016
76750.5	26.534
77250.5	25.888
77750.5	26.632
78250.5	26.28
78750.5	28.194
79250.5	29.51
79750.5	81.448
80250.5	543.394
80750.5	48.598
81250.5	30.34
81750.5	24.92
82250.5	29.382
82750.5	30.656
83250.5	92.474
83750.5	28.768
84250.5	33.096
84750.5	30.856
85250.5	30.972
85750.5	33.634
86250.5	27.178
86750.5	29.394
87250.5	28.948
87750.5	25.996
88250.5	28.568
88750.5	31.262
89250.5	25.676
89750.5	23.468
90250.5	30.402
90750.5	31.47
91250.5	21.794
91750.5	26.366
92250.5	28.976
92750.5	39.9
93250.5	30.79
93750.5	26.13
94250.5	27.722
94750.5	27.452
95250.5	31.846
95750.5	163.26
96250.5	28.836
96750.5	27.832
97250.5	29.414
97750.5	22.286
98250.5	23.1
98750.5	29.54
99250.5	23.448
99750.5	18.924
100250.5	19.262
100750.5	27.72
101250.5	23.606
101750.5	25.87
102250.5	30.182
102750.5	34.596
103250.5	263.338
103750.5	33.606
104250.5	30.028
104750.5	91.418
105250.5	39.986
105750.5	29.738
106250.5	47.68
106750.5	24.972
107250.5	34.278
107750.5	23.736
108250.5	37.488
108750.5	28.696
109250.5	28.424
109750.5	31.82
110250.5	28.358
110750.5	21.802
111250.5	32.608
111750.5	32.044
112250.5	28.078
112750.5	33.054
113250.5	33.462
113750.5	144.314
114250.5	185.556
114750.5	136.122
115250.5	29.552
115750.5	60.41
116250.5	172.788
116750.5	32.05
117250.5	38.096
117750.5	29.462
