# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb12 (Creation date: 2025-05-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Score	Length
5293449at2	Complete	MINDJIJG_00313	76.8	164
9759736at2	Complete	MINDJIJG_00331	366.5	530
9767721at2	Complete	MINDJIJG_00224	293.1	407
9771806at2	Missing
9776390at2	Missing
9776733at2	Complete	MINDJIJG_00194	428.0	303
9778364at2	Missing
9778722at2	Complete	MINDJIJG_00289	418.2	276
9781053at2	Complete	MINDJIJG_00334	216.5	211
9782003at2	Missing
9788336at2	Complete	MINDJIJG_00495	61.1	118
9790352at2	Missing
9791908at2	Missing
9793681at2	Missing
9797833at2	Complete	MINDJIJG_00288	132.8	78
9799262at2	Complete	MINDJIJG_00554	99.2	87
9800507at2	Complete	MINDJIJG_00008	215.4	177
9800696at2	Complete	MINDJIJG_00183	423.9	351
9800719at2	Complete	MINDJIJG_00196	315.3	320
9801107at2	Missing
9801213at2	Missing
9801330at2	Complete	MINDJIJG_00547	126.4	107
9801549at2	Missing
9801753at2	Missing
9802065at2	Missing
9802219at2	Missing
9802304at2	Complete	MINDJIJG_00238	504.8	460
9802309at2	Missing
9802366at2	Complete	MINDJIJG_00160	191.7	119
9802408at2	Complete	MINDJIJG_00220	173.1	140
9802554at2	Missing
9802589at2	Complete	MINDJIJG_00285	129.7	105
9802617at2	Complete	MINDJIJG_00278	114.7	114
9802672at2	Complete	MINDJIJG_00230	138.9	188
9803017at2	Complete	MINDJIJG_00118	163.5	165
9803201at2	Complete	MINDJIJG_00291	186.0	199
9803250at2	Complete	MINDJIJG_00270	80.0	66
9803420at2	Fragmented	MINDJIJG_00534	53.9	134
9803474at2	Complete	MINDJIJG_00383	106.7	61
9803541at2	Complete	MINDJIJG_00379	148.6	109
9803610at2	Complete	MINDJIJG_00269	143.5	101
9803667at2	Missing
9803672at2	Complete	MINDJIJG_00208	180.6	180
9803740at2	Missing
9803773at2	Fragmented	MINDJIJG_00395	267.2	309
9803884at2	Missing
9803954at2	Missing
9803965at2	Complete	MINDJIJG_00546	132.4	112
9804006at2	Missing
9804072at2	Missing
9804243at2	Complete	MINDJIJG_00381	367.9	385
9804305at2	Fragmented	MINDJIJG_00154	36.6	97
9804464at2	Complete	MINDJIJG_00293	124.2	97
9804478at2	Missing
9804647at2	Complete	MINDJIJG_00006	454.6	383
9804716at2	Complete	MINDJIJG_00222	483.1	367
9804753at2	Missing
9804933at2	Complete	MINDJIJG_00215	322.2	569
9805007at2	Complete	MINDJIJG_00277	219.5	176
9805026at2	Complete	MINDJIJG_00057	160.6	206
9805455at2	Missing
9805462at2	Complete	MINDJIJG_00320	147.1	139
9805609at2	Complete	MINDJIJG_00067	63.1	63
9805706at2	Complete	MINDJIJG_00267	208.5	255
9805969at2	Complete	MINDJIJG_00287	112.8	102
9806014at2	Complete	MINDJIJG_00186	169.4	169
9806135at2	Complete	MINDJIJG_00292	251.6	205
9806197at2	Complete	MINDJIJG_00492	284.0	281
9806379at2	Complete	MINDJIJG_00282	119.7	106
9806396at2	Complete	MINDJIJG_00286	198.4	187
9806415at2	Complete	MINDJIJG_00268	155.1	116
9806626at2	Complete	MINDJIJG_00280	247.6	174
9806637at2	Complete	MINDJIJG_00413	217.6	241
9806651at2	Complete	MINDJIJG_00583	753.3	590
9806661at2	Missing
9806954at2	Missing
9807019at2	Complete	MINDJIJG_00064	299.8	404
9807064at2	Missing
9807233at2	Complete	MINDJIJG_00511	199.9	305
9807240at2	Missing
9807416at2	Complete	MINDJIJG_00378	237.7	195
9807419at2	Complete	MINDJIJG_00281	51.6	62
9807458at2	Complete	MINDJIJG_00048	289.6	227
9807553at2	Missing
9807653at2	Complete	MINDJIJG_00159	227.5	144
9807878at2	Complete	MINDJIJG_00377	94.6	71
9808036at2	Complete	MINDJIJG_00135	228.7	198
9808150at2	Complete	MINDJIJG_00119	210.7	181
9808348at2	Missing
9808773at2	Missing
9808936at2	Missing
9808966at2	Complete	MINDJIJG_00184	149.5	108
9809045at2	Complete	MINDJIJG_00275	221.4	163
9809052at2	Missing
9809073at2	Complete	MINDJIJG_00266	107.7	102
9809075at2	Complete	MINDJIJG_00577	61.1	147
9809084at2	Complete	MINDJIJG_00233	223.6	217
9809248at2	Complete	MINDJIJG_00273	299.1	411
9809356at2	Missing
9809796at2	Missing
9810191at2	Complete	MINDJIJG_00176	451.7	521
9810293at2	Complete	MINDJIJG_00274	68.6	111
9810939at2	Complete	MINDJIJG_00276	105.2	116
9811714at2	Complete	MINDJIJG_00283	113.5	74
9811748at2	Complete	MINDJIJG_00483	66.3	92
9811804at2	Missing
9812008at2	Complete	MINDJIJG_00200	80.3	48
9812272at2	Missing
9812273at2	Complete	MINDJIJG_00344	216.7	284
9812702at2	Missing
9812769at2	Complete	MINDJIJG_00089	234.1	278
9812943at2	Missing
9813334at2	Complete	MINDJIJG_00384	108.8	101
9813375at2	Complete	MINDJIJG_00411	313.2	291
9814755at2	Complete	MINDJIJG_00068	151.6	182
9815296at2	Complete	MINDJIJG_00485	1027.4	850
