#Position (bp)	mapping quality
250.5	57.16006884681583
750.5	60.0
1250.5	60.0
1750.5	60.0
2250.5	60.0
2750.5	60.0
3250.5	60.0
3750.5	60.0
4250.5	60.0
4750.5	60.0
5250.5	60.0
5750.5	59.99644381223329
6250.5	59.99520422028615
6750.5	60.0
7250.5	60.0
7750.5	60.0
8250.5	60.0
8750.5	57.82875605815832
9250.5	60.0
9750.5	60.0
10250.5	60.0
10750.5	60.0
11250.5	60.0
11750.5	60.0
12250.5	60.0
12750.5	59.99576031656303
13250.5	59.999608119758605
13750.5	60.0
14250.5	60.0
14750.5	60.0
15250.5	60.0
15750.5	60.0
16250.5	60.0
16750.5	59.46360153256705
17250.5	60.0
17750.5	60.0
18250.5	60.0
18750.5	60.0
19250.5	60.0
19750.5	60.0
20250.5	60.0
20750.5	60.0
21250.5	57.905310827501026
21750.5	60.0
22250.5	60.0
22750.5	60.0
23250.5	60.0
23750.5	58.976166187517386
24250.5	59.8068758652515
24750.5	60.0
25250.5	60.0
25750.5	60.0
26250.5	58.79529753969216
26750.5	60.0
27250.5	60.0
27750.5	59.995847176079735
28250.5	60.0
28750.5	60.0
29250.5	60.0
29750.5	58.41714756801319
30250.5	60.0
30750.5	59.99820897431797
31250.5	59.61429740882436
31750.5	59.99963882152624
32250.5	59.999861109457655
32750.5	59.996536796536795
33250.5	60.0
33750.5	60.0
34250.5	60.0
34750.5	60.0
35250.5	60.0
35750.5	60.0
36250.5	60.0
36750.5	59.95643666887388
37250.5	59.99172588962722
37750.5	59.972039600897205
38250.5	59.76053215077605
38750.5	60.0
39250.5	60.0
39750.5	60.0
40250.5	60.0
40750.5	60.0
41250.5	60.0
41750.5	60.0
42250.5	60.0
42750.5	60.0
43250.5	59.995745887691434
43750.5	60.0
44250.5	60.0
44750.5	60.0
45250.5	60.0
45750.5	60.0
46250.5	60.0
46750.5	60.0
47250.5	60.0
47750.5	60.0
48250.5	59.61230699876028
48750.5	57.89758479609344
49250.5	60.0
49750.5	59.99671669793621
50250.5	59.90722201296513
50750.5	59.91712778477484
51250.5	60.0
51750.5	59.99979837083636
52250.5	60.0
52750.5	60.0
53250.5	60.0
53750.5	60.0
54250.5	60.0
54750.5	60.0
55250.5	60.0
55750.5	60.0
56250.5	60.0
56750.5	60.0
57250.5	59.14199964691343
57750.5	60.0
58250.5	60.0
58750.5	60.0
59250.5	59.998143531533444
59750.5	60.0
60250.5	60.0
60750.5	60.0
61250.5	60.0
61750.5	60.0
62250.5	59.99826447680325
62750.5	59.986462817460804
63250.5	60.0
63750.5	60.0
64250.5	60.0
64750.5	60.0
65250.5	60.0
65750.5	60.0
66250.5	60.0
66750.5	60.0
67250.5	60.0
67750.5	60.0
68250.5	60.0
68750.5	60.0
69250.5	60.0
69750.5	59.99956898873983
70250.5	59.948806663060026
70750.5	60.0
71250.5	60.0
71750.5	60.0
72250.5	60.0
72750.5	60.0
73250.5	60.0
73750.5	60.0
74250.5	59.99854810943106
74750.5	59.99813446371014
75250.5	60.0
75750.5	59.984619094831054
76250.5	60.0
76750.5	60.0
77250.5	59.995364647713224
77750.5	60.0
78250.5	60.0
78750.5	60.0
79250.5	58.784140969163
79750.5	60.0
80250.5	59.99955833152372
80750.5	60.0
81250.5	60.0
81750.5	60.0
82250.5	60.0
82750.5	60.0
83250.5	59.99480935181781
83750.5	60.0
84250.5	60.0
84750.5	60.0
85250.5	60.0
85750.5	59.99643218172088
86250.5	60.0
86750.5	60.0
87250.5	60.0
87750.5	60.0
88250.5	60.0
88750.5	60.0
89250.5	60.0
89750.5	60.0
90250.5	60.0
90750.5	60.0
91250.5	60.0
91750.5	60.0
92250.5	60.0
92750.5	60.0
93250.5	60.0
93750.5	60.0
94250.5	60.0
94750.5	60.0
95250.5	60.0
