locus_tag	ftype	length_bp	gene	EC_number	COG	product
MINDJIJG_00001	CDS	807	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
MINDJIJG_00002	CDS	309	trxA		COG0526	Thioredoxin
MINDJIJG_00003	CDS	1434	proS	6.1.1.15	COG0442	Proline--tRNA ligase
MINDJIJG_00004	CDS	1197	deoB	5.4.2.7	COG1015	Phosphopentomutase
MINDJIJG_00005	CDS	1422	pyk	2.7.1.40		Pyruvate kinase
MINDJIJG_00006	CDS	1266	serS	6.1.1.11	COG0172	Serine--tRNA ligase
MINDJIJG_00007	CDS	2244	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
MINDJIJG_00008	CDS	561	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MINDJIJG_00009	CDS	981	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
MINDJIJG_00010	CDS	2220	ftsH	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
MINDJIJG_00011	CDS	615				hypothetical protein
MINDJIJG_00012	CDS	609	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
MINDJIJG_00013	CDS	2736	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
MINDJIJG_00014	CDS	2007				hypothetical protein
MINDJIJG_00015	CDS	864				hypothetical protein
MINDJIJG_00016	CDS	1374	pepA_1	3.4.11.10		cytosol aminopeptidase
MINDJIJG_00017	CDS	1365	pepA_2	3.4.11.10		cytosol aminopeptidase
MINDJIJG_00018	CDS	291				hypothetical protein
MINDJIJG_00019	CDS	651	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
MINDJIJG_00020	CDS	861	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
MINDJIJG_00021	CDS	1404				hypothetical protein
MINDJIJG_00022	CDS	846	osmV	3.6.3.-	COG1125	Osmoprotectant import ATP-binding protein OsmV
MINDJIJG_00023	CDS	675	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
MINDJIJG_00024	CDS	378				hypothetical protein
MINDJIJG_00025	CDS	1398	gltX	6.1.1.17		Glutamate--tRNA ligase
MINDJIJG_00026	CDS	852				hypothetical protein
MINDJIJG_00027	CDS	2019	lagD	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
MINDJIJG_00028	CDS	453	ybeY	3.1.-.-		Endoribonuclease YbeY
MINDJIJG_00029	CDS	885	era			GTPase Era
MINDJIJG_00030	CDS	1665				hypothetical protein
MINDJIJG_00031	CDS	1410	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MINDJIJG_00032	CDS	900				hypothetical protein
MINDJIJG_00033	CDS	840				hypothetical protein
MINDJIJG_00034	CDS	1761				hypothetical protein
MINDJIJG_00035	CDS	1347	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
MINDJIJG_00036	CDS	1005				hypothetical protein
MINDJIJG_00037	CDS	651				hypothetical protein
MINDJIJG_00038	CDS	2238	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
MINDJIJG_00039	CDS	1551				hypothetical protein
MINDJIJG_00040	CDS	1908	pepO	3.4.24.-		Neutral endopeptidase
MINDJIJG_00041	CDS	912	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
MINDJIJG_00042	CDS	216				hypothetical protein
MINDJIJG_00043	CDS	1347	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
MINDJIJG_00044	CDS	1332		2.1.1.-	COG2265	putative RNA methyltransferase
MINDJIJG_00045	CDS	1671				hypothetical protein
MINDJIJG_00046	CDS	1056	ftsY		COG0552	Signal recognition particle receptor FtsY
MINDJIJG_00047	CDS	225				hypothetical protein
MINDJIJG_00048	CDS	729	pyrH	2.7.4.22		Uridylate kinase
MINDJIJG_00049	CDS	552	frr		COG0233	Ribosome-recycling factor
MINDJIJG_00050	CDS	954				hypothetical protein
MINDJIJG_00051	CDS	4314	polC	2.7.7.7	COG2176	DNA polymerase III PolC-type
MINDJIJG_00052	CDS	525				hypothetical protein
MINDJIJG_00053	CDS	1257	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
MINDJIJG_00054	CDS	297				hypothetical protein
MINDJIJG_00055	CDS	1629				putative protein
MINDJIJG_00056	CDS	1008	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
MINDJIJG_00057	CDS	696	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
MINDJIJG_00058	CDS	2937	smc_1		COG1196	Chromosome partition protein Smc
MINDJIJG_00059	CDS	426				hypothetical protein
MINDJIJG_00060	CDS	357				hypothetical protein
MINDJIJG_00061	CDS	1980	yidC			Membrane protein insertase YidC
MINDJIJG_00062	CDS	330	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
MINDJIJG_00063	CDS	147	rpmH		COG0230	50S ribosomal protein L34
MINDJIJG_00064	CDS	1392	dnaA			Chromosomal replication initiator protein DnaA
MINDJIJG_00065	CDS	1098	dnaN		COG0592	Beta sliding clamp
MINDJIJG_00066	CDS	213				hypothetical protein
MINDJIJG_00067	CDS	198				hypothetical protein
MINDJIJG_00068	CDS	774	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
MINDJIJG_00069	CDS	768	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
MINDJIJG_00070	CDS	687	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
MINDJIJG_00071	CDS	843				hypothetical protein
MINDJIJG_00072	tRNA	87				tRNA-Leu(taa)
MINDJIJG_00073	tRNA	76				tRNA-Lys(ttt)
MINDJIJG_00074	CDS	618				hypothetical protein
MINDJIJG_00075	CDS	489				hypothetical protein
MINDJIJG_00076	CDS	2454				hypothetical protein
MINDJIJG_00077	CDS	1167				hypothetical protein
MINDJIJG_00078	CDS	372				hypothetical protein
MINDJIJG_00079	CDS	1809				hypothetical protein
