#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_73696_cov_32.301567:36676-38085|+  -            470 7796                 -            434  5.5e-207  683.1  18.9   1   1  1.5e-208  6.5e-207  682.8  18.9     2   433    12   446    11   447 0.98 NODE_1_length_73696_cov_32.301567_31 # 36676 # 38085 # 1 # ID=1_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.285
NODE_17_length_13341_cov_35.051536:3016-4956|-   -            647 7796                 -            434   2.7e-87  288.7  30.7   1   2   1.1e-39   4.5e-38  126.5   1.9     5   203    30   231    26   240 0.84 NODE_17_length_13341_cov_35.051536_5 # 3016 # 4956 # -1 # ID=17_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.288
NODE_17_length_13341_cov_35.051536:3016-4956|-   -            647 7796                 -            434   2.7e-87  288.7  30.7   2   2   4.3e-51   1.8e-49  164.0  20.8   110   432   307   641   255   643 0.75 NODE_17_length_13341_cov_35.051536_5 # 3016 # 4956 # -1 # ID=17_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.288
NODE_8_length_30985_cov_8.604803:21069-21866|+   -            266 7796                 -            434   1.3e-43  144.7   5.8   1   2   1.2e-19   5.1e-18   60.4   0.9     5   120     1   121     1   123 0.90 NODE_8_length_30985_cov_8.604803_23 # 21069 # 21866 # 1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.273
NODE_8_length_30985_cov_8.604803:21069-21866|+   -            266 7796                 -            434   1.3e-43  144.7   5.8   2   2   2.2e-29   9.2e-28   92.5   0.7   196   316   108   227   105   242 0.94 NODE_8_length_30985_cov_8.604803_23 # 21069 # 21866 # 1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.273
NODE_16_length_15078_cov_9.801084:8520-9491|+    -            324 7796                 -            434     4e-37  123.4   6.8   1   3         2        87   -3.0   1.6   347   360    18    31     2    79 0.51 NODE_16_length_15078_cov_9.801084_2 # 8520 # 9491 # 1 # ID=16_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_16_length_15078_cov_9.801084:8520-9491|+    -            324 7796                 -            434     4e-37  123.4   6.8   2   3   4.6e-24   1.9e-22   75.0   1.4     2   113    86   207    85   214 0.83 NODE_16_length_15078_cov_9.801084_2 # 8520 # 9491 # 1 # ID=16_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_16_length_15078_cov_9.801084:8520-9491|+    -            324 7796                 -            434     4e-37  123.4   6.8   3   3   3.4e-19   1.5e-17   58.9   0.3   204   307   207   309   203   315 0.94 NODE_16_length_15078_cov_9.801084_2 # 8520 # 9491 # 1 # ID=16_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_8_length_30985_cov_8.604803:21857-22894|+   -            346 7796                 -            434   8.6e-37  122.3   5.2   1   2   2.4e-14     1e-12   42.9   0.6     6    71     3    73     1    89 0.86 NODE_8_length_30985_cov_8.604803_24 # 21857 # 22894 # 1 # ID=8_24;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.278
NODE_8_length_30985_cov_8.604803:21857-22894|+   -            346 7796                 -            434   8.6e-37  122.3   5.2   2   2     3e-25   1.3e-23   78.9   0.5   122   310    95   285    83   300 0.73 NODE_8_length_30985_cov_8.604803_24 # 21857 # 22894 # 1 # ID=8_24;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.278
NODE_1_length_73696_cov_32.301567:27123-27968|-  -            282 7796                 -            434   7.8e-34  112.5  10.4   1   2   7.8e-15   3.3e-13   44.5   2.0     3    96    43   141    41   154 0.81 NODE_1_length_73696_cov_32.301567_22 # 27123 # 27968 # -1 # ID=1_22;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.257
