#Position (bp)	mapping quality
250.5	60.0
750.5	60.0
1250.5	60.0
1750.5	60.0
2250.5	60.0
2750.5	60.0
3250.5	60.0
3750.5	60.0
4250.5	60.0
4750.5	60.0
5250.5	60.0
5750.5	60.0
6250.5	60.0
6750.5	60.0
7250.5	60.0
7750.5	60.0
8250.5	60.0
8750.5	60.0
9250.5	60.0
9750.5	60.0
10250.5	60.0
10750.5	60.0
11250.5	60.0
11750.5	60.0
12250.5	60.0
12750.5	60.0
13250.5	60.0
13750.5	60.0
14250.5	59.91595833832156
14750.5	60.0
15250.5	60.0
15750.5	60.0
16250.5	60.0
16750.5	59.99322942379575
17250.5	58.514383035287764
17750.5	59.998983562757736
18250.5	60.0
18750.5	60.0
19250.5	60.0
19750.5	60.0
20250.5	60.0
20750.5	59.55423678771774
21250.5	60.0
21750.5	60.0
22250.5	60.0
22750.5	60.0
23250.5	60.0
23750.5	60.0
24250.5	60.0
24750.5	60.0
25250.5	60.0
25750.5	60.0
26250.5	59.999119408242336
26750.5	60.0
27250.5	60.0
27750.5	60.0
28250.5	60.0
28750.5	59.99671916010499
29250.5	60.0
29750.5	60.0
30250.5	60.0
30750.5	59.980386001627714
31250.5	60.0
31750.5	60.0
32250.5	59.99558498896247
32750.5	59.91967057606071
33250.5	60.0
33750.5	60.0
34250.5	60.0
34750.5	60.0
35250.5	60.0
35750.5	60.0
36250.5	59.9962591183989
36750.5	60.0
37250.5	60.0
37750.5	60.0
38250.5	60.0
38750.5	60.0
39250.5	60.0
39750.5	60.0
40250.5	59.701216475777194
40750.5	60.0
41250.5	60.0
41750.5	59.99914073352715
42250.5	60.0
42750.5	60.0
43250.5	60.0
43750.5	60.0
44250.5	60.0
44750.5	60.0
45250.5	60.0
45750.5	60.0
46250.5	59.75679579148733
46750.5	60.0
47250.5	60.0
47750.5	60.0
48250.5	60.0
48750.5	59.87280209502432
49250.5	59.98223930292474
49750.5	60.0
50250.5	59.72714597427105
50750.5	59.99984218737318
51250.5	59.98358514782374
51750.5	59.779565300529036
52250.5	60.0
52750.5	60.0
53250.5	59.99551468939224
53750.5	60.0
54250.5	60.0
54750.5	60.0
55250.5	60.0
55750.5	60.0
56250.5	60.0
56750.5	60.0
57250.5	60.0
57750.5	60.0
58250.5	60.0
58750.5	60.0
59250.5	60.0
59750.5	60.0
60250.5	60.0
60750.5	60.0
61250.5	59.99555070453495
61750.5	59.998633933356864
62250.5	59.99923537420041
62750.5	59.99229616537309
63250.5	60.0
63750.5	59.96771077687319
64250.5	60.0
64750.5	60.0
65250.5	60.0
65750.5	60.0
66250.5	60.0
66750.5	60.0
67250.5	60.0
67750.5	60.0
68250.5	59.998975287346504
68750.5	59.99857510252311
69250.5	60.0
69750.5	60.0
70250.5	60.0
70750.5	59.99958546358989
71250.5	60.0
71750.5	60.0
72250.5	60.0
