#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_20_length_10828_cov_21.472666:3311-3862|+  -            184 7744                 -            180   9.6e-69  226.1  10.2   1   1   1.1e-70   1.1e-68  226.0  10.2     1   178     1   181     1   183 0.95 NODE_20_length_10828_cov_21.472666_5 # 3311 # 3862 # 1 # ID=20_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.252
NODE_9_length_27958_cov_8.304588:9399-10721|-   -            441 7744                 -            180   1.4e-23   79.0  13.8   1   2   8.8e-15   8.6e-13   43.8   1.1    20   178     4   159     1   162 0.83 NODE_9_length_27958_cov_8.304588_10 # 9399 # 10721 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.282
NODE_9_length_27958_cov_8.304588:9399-10721|-   -            441 7744                 -            180   1.4e-23   79.0  13.8   2   2   2.1e-13     2e-11   39.4   5.6    20   178   174   341   164   343 0.75 NODE_9_length_27958_cov_8.304588_10 # 9399 # 10721 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.282
NODE_28_length_5889_cov_5.042694:2331-3158|-    -            276 7744                 -            180     6e-13   44.4   5.4   1   2    0.0069      0.67    5.1   1.2   104   155    19    69     6    92 0.62 NODE_28_length_5889_cov_5.042694_2 # 2331 # 3158 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.262
NODE_28_length_5889_cov_5.042694:2331-3158|-    -            276 7744                 -            180     6e-13   44.4   5.4   2   2   7.8e-14   7.6e-12   40.8   0.1    19    83   110   174    91   224 0.83 NODE_28_length_5889_cov_5.042694_2 # 2331 # 3158 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.262
NODE_1_length_73696_cov_32.301567:34097-34981|+ -            295 7744                 -            180   3.8e-12   41.7   3.8   1   2   3.9e-14   3.8e-12   41.7   3.8    20   164     5   151     1   167 0.71 NODE_1_length_73696_cov_32.301567_29 # 34097 # 34981 # 1 # ID=1_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.267
NODE_1_length_73696_cov_32.301567:34097-34981|+ -            295 7744                 -            180   3.8e-12   41.7   3.8   2   2       2.1   2.1e+02   -3.0   0.6   133   147   243   257   216   277 0.46 NODE_1_length_73696_cov_32.301567_29 # 34097 # 34981 # 1 # ID=1_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.267
NODE_1_length_73696_cov_32.301567:51930-53276|+ -            449 7744                 -            180   4.7e-07   25.2   5.6   1   2      0.53        52   -1.1   1.2    81   137   154   211   137   215 0.70 NODE_1_length_73696_cov_32.301567_43 # 51930 # 53276 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.272
NODE_1_length_73696_cov_32.301567:51930-53276|+ -            449 7744                 -            180   4.7e-07   25.2   5.6   2   2   4.8e-09   4.7e-07   25.2   5.6    15   154   216   353   205   371 0.64 NODE_1_length_73696_cov_32.301567_43 # 51930 # 53276 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.272
NODE_3_length_51449_cov_28.078621:5646-6497|+   -            284 7744                 -            180     6e-05   18.3   4.7   1   3     0.046       4.5    2.4   0.4   118   150    93   125    60   149 0.78 NODE_3_length_51449_cov_28.078621_7 # 5646 # 6497 # 1 # ID=3_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
NODE_3_length_51449_cov_28.078621:5646-6497|+   -            284 7744                 -            180     6e-05   18.3   4.7   2   3     1e-06    0.0001   17.5   0.1    19    73   150   210   145   219 0.77 NODE_3_length_51449_cov_28.078621_7 # 5646 # 6497 # 1 # ID=3_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
NODE_3_length_51449_cov_28.078621:5646-6497|+   -            284 7744                 -            180     6e-05   18.3   4.7   3   3       2.2   2.2e+02   -3.1   0.0     4    26   238   261   232   279 0.50 NODE_3_length_51449_cov_28.078621_7 # 5646 # 6497 # 1 # ID=3_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
NODE_14_length_15897_cov_20.600380:2962-4761|-  -            600 7744                 -            180    0.0003   16.0   0.5   1   1   7.7e-06   0.00075   14.7   0.5   102   178    94   173    84   175 0.80 NODE_14_length_15897_cov_20.600380_4 # 2962 # 4761 # -1 # ID=14_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.309
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/7744at2085.hmm
# Target file:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa
