# BUSCO version is: 6.0.0 
# The lineage dataset is: mycoplasmatales_odb12 (Creation date: 2025-05-14, number of genomes: 32, number of BUSCOs: 205)
# Busco id	Status	Sequence	Score	Length
226at2085	Complete	MINDJIJG_00132	1270.2	968
630at2085	Complete	MINDJIJG_00515	676.9	423
631at2085	Missing
1061at2085	Fragmented	MINDJIJG_00680	208.4	178
1084at2085	Complete	MINDJIJG_00375	552.6	368
1287at2085	Missing
1629at2085	Fragmented	MINDJIJG_00492	320.5	220
1809at2085	Fragmented	MINDJIJG_01160	407.6	269
1944at2085	Complete	MINDJIJG_00128	643.3	507
1999at2085	Fragmented	MINDJIJG_00702	136.9	118
2801at2085	Fragmented	MINDJIJG_00222	413.2	303
2865at2085	Complete	MINDJIJG_00824	392.2	265
2883at2085	Missing
3185at2085	Fragmented	MINDJIJG_00389	349.9	229
3199at2085	Fragmented	MINDJIJG_00072	289.7	209
3359at2085	Fragmented	MINDJIJG_00115	93.9	68
3741at2085	Fragmented	MINDJIJG_01087	170.5	150
4107at2085	Complete	MINDJIJG_01061	244.8	178
4153at2085	Complete	MINDJIJG_00665	309.1	212
4216at2085	Complete	MINDJIJG_00570	294.3	179
4593at2085	Complete	MINDJIJG_00571	203.8	132
4608at2085	Complete	MINDJIJG_00475	192.7	192
4611at2085	Complete	MINDJIJG_00863	143.5	162
4733at2085	Complete	MINDJIJG_00745	167.4	127
4748at2085	Complete	MINDJIJG_00456	244.1	140
4784at2085	Complete	MINDJIJG_01099	211.1	129
4835at2085	Complete	MINDJIJG_00972	183.9	161
5077at2085	Complete	MINDJIJG_00479	323.6	243
5160at2085	Fragmented	MINDJIJG_00630	123.4	89
5405at2085	Complete	MINDJIJG_00575	207.6	121
5451at2085	Complete	MINDJIJG_00589	151.2	98
5514at2085	Complete	MINDJIJG_00569	150.4	114
5559at2085	Complete	MINDJIJG_00219	264.5	188
5880at2085	Missing
5882at2085	Complete	MINDJIJG_00748	176.7	115
5917at2085	Fragmented	MINDJIJG_00846	121.2	146
5980at2085	Complete	MINDJIJG_00561	120.4	70
5993at2085	Complete	MINDJIJG_00576	141.9	82
6032at2085	Missing
6044at2085	Fragmented	MINDJIJG_00557	138.5	94
6132at2085	Complete	MINDJIJG_00924	133.6	104
6134at2085	Complete	MINDJIJG_01118	138.0	88
6161at2085	Complete	MINDJIJG_00146	108.8	64
6185at2085	Complete	MINDJIJG_00973	175.7	122
6296at2085	Complete	MINDJIJG_00598	111.9	69
6342at2085	Complete	MINDJIJG_00572	121.3	60
6351at2085	Fragmented	MINDJIJG_00003	72.4	67
6376at2085	Missing
6384at2085	Missing
6396at2085	Complete	MINDJIJG_00755	161.3	98
6398at2085	Complete	MINDJIJG_00746	132.0	85
6403at2085	Missing
6416at2085	Missing
6419at2085	Fragmented	MINDJIJG_00962	1176.5	681
6426at2085	Complete	MINDJIJG_00959	406.7	298
6446at2085	Missing
6471at2085	Missing
6472at2085	Fragmented	MINDJIJG_00112	267.0	171
6487at2085	Complete	MINDJIJG_00583	473.7	252
6500at2085	Missing
6501at2085	Missing
6508at2085	Missing
6514at2085	Complete	MINDJIJG_00457	366.8	228
6528at2085	Missing
6546at2085	Complete	MINDJIJG_00356	267.8	138
6577at2085	Complete	MINDJIJG_00770	94.1	49
6603at2085	Fragmented	MINDJIJG_00651	154.4	114
6610at2085	Complete	MINDJIJG_00558	400.3	304
6631at2085	Complete	MINDJIJG_01073	330.5	206
6640at2085	Missing
6658at2085	Missing
6667at2085	Fragmented	MINDJIJG_00184	208.8	189
6688at2085	Complete	MINDJIJG_00247	801.4	395
6752at2085	Missing
6814at2085	Missing
6816at2085	Fragmented	MINDJIJG_00408	456.8	484
6834at2085	Fragmented	MINDJIJG_01029	700.7	450
6880at2085	Complete	MINDJIJG_00113	236.5	183
6885at2085	Missing
6889at2085	Complete	MINDJIJG_00363	400.2	281
6922at2085	Complete	MINDJIJG_00299	321.6	255
6929at2085	Complete	MINDJIJG_00754	144.7	84
6930at2085	Missing
6932at2085	Complete	MINDJIJG_00502	141.8	124
6977at2085	Complete	MINDJIJG_00818	490.4	312
6980at2085	Fragmented	MINDJIJG_00225	408.2	347
7001at2085	Complete	MINDJIJG_00560	222.4	121
7006at2085	Missing
7008at2085	Missing
7026at2085	Missing
7035at2085	Missing
7039at2085	Complete	MINDJIJG_00562	324.3	214
7055at2085	Complete	MINDJIJG_00263	355.5	268
7075at2085	Missing
7085at2085	Missing
7090at2085	Fragmented	MINDJIJG_00872	771.6	648
7112at2085	Missing
7136at2085	Missing
7152at2085	Complete	MINDJIJG_00717	252.7	225
7168at2085	Complete	MINDJIJG_00638	556.0	424
7172at2085	Missing
7202at2085	Missing
7206at2085	Complete	MINDJIJG_00064	350.9	276
7231at2085	Complete	MINDJIJG_00258	287.5	190
7270at2085	Fragmented	MINDJIJG_00398	341.9	294
