#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_24_length_9019_cov_11.601552:3213-4316|-   -            368 10906                -            364  9.8e-182  599.2  12.3   1   1  6.4e-184  1.1e-181  599.1  12.3     1   364     2   367     2   367 0.98 NODE_24_length_9019_cov_11.601552_4 # 3213 # 4316 # -1 # ID=24_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.290
NODE_4_length_40423_cov_18.794992:11723-12997|- -            425 10906                -            364   1.7e-13   45.7   6.5   1   1   1.8e-13   3.1e-11   38.3   6.0     4   226   159   355   156   364 0.82 NODE_4_length_40423_cov_18.794992_13 # 11723 # 12997 # -1 # ID=4_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.307
NODE_9_length_27958_cov_8.304588:9399-10721|-   -            441 10906                -            364   1.9e-07   25.8   7.7   1   3   7.5e-07   0.00013   16.5   0.1     4    25     6    27     4    34 0.88 NODE_9_length_27958_cov_8.304588_10 # 9399 # 10721 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.282
NODE_9_length_27958_cov_8.304588:9399-10721|-   -            441 10906                -            364   1.9e-07   25.8   7.7   2   3   1.6e-05    0.0028   12.1   0.2     3    47   175   220   173   244 0.81 NODE_9_length_27958_cov_8.304588_10 # 9399 # 10721 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.282
NODE_9_length_27958_cov_8.304588:9399-10721|-   -            441 10906                -            364   1.9e-07   25.8   7.7   3   3       0.1        17   -0.3   0.5   181   227   303   347   274   368 0.67 NODE_9_length_27958_cov_8.304588_10 # 9399 # 10721 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.282
NODE_28_length_5889_cov_5.042694:2331-3158|-    -            276 10906                -            364   0.00077   13.9   0.1   1   4      0.18        30   -1.2   1.0   134   149    54    69    32   108 0.45 NODE_28_length_5889_cov_5.042694_2 # 2331 # 3158 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.262
NODE_28_length_5889_cov_5.042694:2331-3158|-    -            276 10906                -            364   0.00077   13.9   0.1   2   4   4.5e-06   0.00077   13.9   0.1     2    27   111   136   110   156 0.89 NODE_28_length_5889_cov_5.042694_2 # 2331 # 3158 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.262
NODE_28_length_5889_cov_5.042694:2331-3158|-    -            276 10906                -            364   0.00077   13.9   0.1   3   4       0.3        52   -1.9   0.0   252   279   176   203   165   210 0.76 NODE_28_length_5889_cov_5.042694_2 # 2331 # 3158 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.262
NODE_28_length_5889_cov_5.042694:2331-3158|-    -            276 10906                -            364   0.00077   13.9   0.1   4   4      0.26        44   -1.7   0.6   167   191   215   239   180   271 0.54 NODE_28_length_5889_cov_5.042694_2 # 2331 # 3158 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.262
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/10906at2085.hmm
# Target file:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/run_mycoplasmatales_odb12/hmmer_output/10906at2085.out --cpu 1 /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_downloads/lineages/mycoplasmatales_odb12/hmms/10906at2085.hmm /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3/busco_genome/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/genomika25/studenci/dmyboi/sequence_adnotation_cw3
# Date:            Tue Oct 28 11:31:00 2025
# [ok]
